NPA,Violent_Crime_Rate_2016,Violent_Crimes_2016,Violent_Crime_Rate_2015,Violent_Crimes_2015,Violent_Crime_Rate_2013,Violent_Crimes_2013,Violent_Crime_Rate_2011,Violent_Crimes_2011,Property_Crime_Rate_2016,Property_Crimes_2016,Property_Crime_Rate_2015,Property_Crimes_2015,Property_Crime_Rate_2013,Property_Crimes_2013,Property_Crime_Rate_2011,Property_Crimes_2011,Disorder_Call_Rate_2016,Disorder_Calls_2016,Disorder_Call_Rate_2015,Disorder_Calls_2015,Disorder_Call_Rate_2013,Disorder_Calls_2013,Animal_Control_Call_Rate_2016,Animal_Control_Calls_2016,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Animal_Control_Call_Rate_2013,Animal_Control_Calls_2013,Animal_Control_Call_Rate_2011,Animal_Control_Calls_2011,Fire_Call_Rate_2016,Fire_Calls_2016,Fire_Call_Rate_2015,Fire_Calls_2015,Fire_Call_Rate_2013,Fire_Calls_2013,Nuisance_Violations_2016,Nuisance_Violations_Total_2016,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,Nuisance_Violations_2013,Nuisance_Violations_Total_2013
2,4.9,11,4.5,10,6.9,15,9.3,19,46.9,105,31.1,69,32.8,71,120.16,245,200.5,449,196.8,436,243.7,528,36.2,81,36.2,78,43.8,95,58.4,119,46.9,105,38.4,85,35.1,76,5.4,58,13.8,149,5.8,63
3,4.1,33,2.1,17,2.2,17,2,13,82.4,658,61.1,485,59.5,465,77.4,508,207.2,1655,183.2,1454,169.5,1324,26.2,209,26.2,233,33.4,261,36.7,241,77,615,64.8,514,60.7,474,1.4,64,5.7,269,4,190
4,0,0,0.9,1,0,0,0,0,9.3,10,19.5,21,9.4,10,12.97,13,51.9,56,46.4,50,39.4,42,7.4,8,7.4,22,20.7,22,31.9,32,48.2,52,44.5,48,31,33,1.7,7,0.5,2,2.2,9
5,20.3,16,18.8,14,24.9,19,21.6,13,34.2,27,67.1,50,51.1,39,72.97,44,287.3,227,318.1,237,329,251,102.5,81,102.5,74,114,87,170.8,103,35.4,28,41.6,31,45.9,35,27.9,91,30.2,100,17.6,58
6,28.6,53,24.4,42,31,55,27.5,45,100.9,187,100.9,174,94.1,167,92.19,151,641.1,1188,567.9,979,482.8,857,138.7,257,138.7,220,157.8,280,179.5,294,45.3,84,64.4,111,49.6,88,26.6,217,39.9,326,32.7,268
7,1.5,2,0,0,0,0,0,0,19.1,25,22.1,29,20.9,27,31.85,38,105.5,138,101.5,133,83.5,108,14.5,19,14.5,35,23.2,30,36.9,44,81,106,69.5,91,44.1,57,5.2,22,3.8,16,2.4,10
8,1.1,2,0.5,1,1.3,2,0.6,1,26.4,49,16.8,31,19.1,29,18.74,33,92.6,172,89.7,166,95.1,144,28,52,28,63,65.4,99,42.6,75,26.9,50,37.8,70,51.5,78,4,41,12.5,129,4.4,45
9,3.2,2,3.3,2,0,0,3.7,2,50,31,37.9,23,53.2,31,63.2,34,121,75,143.3,87,154.4,90,46.8,29,46.8,22,77.2,45,91.1,49,41.9,26,44.5,27,27.4,16,15.1,46,14.6,44,19.7,60
10,17.4,66,11.5,43,13.5,48,14.9,50,72.1,273,77.6,290,78.4,279,84.05,282,383.1,1450,293.4,1096,354.4,1262,59.7,226,59.7,302,100.5,358,116.5,391,38,144,42,157,52,185,23.6,376,40.8,650,29.8,476
11,0.8,2,0.8,2,1.6,4,2.1,5,32.6,86,30.1,79,32,82,39.46,93,92.7,245,89.6,235,121.3,311,23.1,61,23.1,86,22.6,58,43.7,103,46.6,123,38.1,100,19.1,49,1.6,19,4.2,51,2.6,31
12,9.6,26,11.6,31,13.7,36,8.4,21,35.6,97,36.6,98,47.4,125,46.88,117,188,512,188.6,505,313.4,826,29,79,29,86,48.9,129,42.9,107,15.4,42,18.3,49,11,29,0.9,11,4.8,60,1.3,16
13,6.7,24,2.8,10,7,25,5.1,17,54,194,38.2,137,41.4,147,36.74,123,146.5,526,137.9,494,160.8,571,35.1,126,35.1,121,49,174,46.3,155,17,61,20.4,73,20.6,73,5.1,94,7.4,135,3.7,66
14,4,15,1.9,7,2.4,9,1.6,6,27,102,26.2,99,19.3,72,17.99,66,72.8,275,79,299,53.5,200,24.6,93,24.6,126,33.4,125,25.9,95,19.6,74,14.5,55,14.7,55,11.2,180,12.7,205,4.2,67
15,1.4,3,0,0,0,0,0,0,12.5,27,4.7,10,6.8,14,4.98,10,30.6,66,41.6,89,33.9,70,36.7,79,36.7,85,35.9,74,50.8,102,20.9,45,23.8,51,10.2,21,11,92,26.5,221,4.6,38
16,4.8,23,3.6,17,4.3,20,3.7,17,35.7,170,32.2,153,43.7,203,38.15,175,144.6,688,168.8,802,177.5,825,51.3,244,51.3,253,75.8,352,73.5,337,29.4,140,29.9,142,35.9,167,7.2,153,13.8,291,23.3,493
17,7.1,24,5.6,19,6.3,21,4.3,13,27.6,93,27.5,93,25,84,27.9,85,111.7,377,111,376,106.8,359,53.6,181,53.6,204,70.5,237,77.8,237,26.1,88,27.8,94,29.2,98,22.4,281,18.1,227,12.7,160
18,0.3,1,1.8,6,2.8,9,0.7,2,19.3,65,16.9,58,16.7,54,23.25,69,75.9,255,92.1,316,105.1,340,25,84,25,71,31.2,101,35.4,105,36.3,122,29.4,101,36.8,119,3.8,65,3.5,59,2.3,38
19,0.6,2,0,0,0.3,1,0.6,2,13.9,51,13.7,50,9.7,35,12.64,44,59.1,216,56.7,207,52.6,189,15.6,57,15.6,67,22.8,82,38.2,133,26,95,21.9,80,21.7,78,1.9,33,3.9,68,2.4,42
20,0.3,1,0,0,0,0,0,0,9.9,31,10.5,33,7.3,23,10.42,31,29.9,94,31.5,99,28,88,18.4,58,18.4,76,27,85,19.2,57,19.7,62,21,66,18.8,59,1.2,17,1.2,17,1,15
21,13.6,41,7.4,22,5.9,17,9.5,25,67.6,203,64.7,193,53.3,154,80.47,211,244.9,736,230.6,688,222.2,642,35.3,106,35.3,114,43.9,127,66.7,175,42.6,128,37.9,113,31.8,92,12.3,150,15.1,184,10.4,127
22,11.2,11,7.3,7,11.2,10,13.6,10,112.8,111,90.5,87,84.7,76,107.34,79,312,307,332,319,280.9,252,67.1,66,67.1,86,89.2,80,142.7,105,47.8,47,50,48,74.7,67,14.4,73,21.2,106,25,91
23,9,10,0,0,4.6,5,7.3,8,36.8,41,23.4,26,26.8,29,43.64,48,159.9,178,130.4,145,172.1,186,36.8,41,36.8,44,89.7,97,62.7,69,60.2,67,61.2,68,63.8,69,10.9,60,12.4,68,7.3,40
24,3.6,4,1.8,2,5.8,7,3.5,4,30.2,34,31,35,30,36,25.69,29,124.4,140,150.6,170,159.9,192,28.4,32,28.4,23,53.3,64,40.7,46,34.7,39,24.8,28,22.5,27,17.3,77,9.8,44,3.2,15
25,0.7,2,0.7,2,0,0,0.7,2,15.1,45,6.1,18,5.1,15,7.78,22,35,104,40.6,120,32.5,96,17.2,51,17.2,82,25.4,75,30.8,87,10.1,30,7.8,23,9.1,27,5.7,64,16,178,1.6,18
26,0.7,2,1,3,1.6,5,0.7,2,6.8,21,8.4,26,7.8,24,7.72,23,29.1,90,31.3,97,40.2,124,13.6,42,13.6,67,25.9,80,30.2,90,12.9,40,11,34,6.5,20,0.1,1,0.5,5,0.3,3
27,0.4,1,0.7,2,2.6,7,1.5,4,12.2,33,11.8,32,11.4,31,15.06,40,70.7,192,67.7,184,57,155,38.7,105,38.7,93,41.9,114,53.8,143,10.7,29,17.3,47,13.6,37,6.3,62,6.6,65,5.2,51
28,1.7,2,1.7,2,1.7,2,2.1,2,61.4,72,46,55,50.2,59,58.14,55,124.5,146,121.1,145,128.4,151,37.5,44,37.5,30,47.6,56,40.2,38,28.1,33,21.7,26,23.8,28,4.6,25,3.3,18,2,11
29,1.6,2,1.6,2,0,0,0,0,8.1,10,4.9,6,2.4,3,8.53,10,32.3,40,40.4,50,41.1,51,27.5,34,27.5,31,48.4,60,42.7,50,21.8,27,20.2,25,26.6,33,3.2,18,13.1,74,0.9,5
30,15.7,38,13.4,28,27.5,34,17.4,21,60.7,147,52.1,109,90.7,112,84.72,102,328.1,794,416.6,871,681,841,59.9,145,59.9,164,117.4,145,152,183,43.8,106,45.4,95,64,79,6.6,65,10.7,91,5.8,29
31,0,0,0.6,1,0.6,1,0.6,1,4.2,7,7.2,12,15.8,26,5,8,26.3,44,37.2,62,46.1,76,23.3,39,23.3,44,18.8,31,14.4,23,38.2,64,29.4,49,18.8,31,0.3,2,1.3,9,0.9,6
32,0,0,3,1,8.9,3,12.6,4,83.1,28,77.2,26,86.1,29,63.09,20,323.4,109,302.7,102,201.8,68,29.7,10,29.7,12,29.7,10,50.5,16,62.3,21,77.2,26,62.3,21,2.7,6,3.6,8,0.9,2
33,3.7,5,1.5,2,11.4,15,0.8,1,47.5,64,45.3,61,57.6,76,52.42,66,77.2,104,75.7,102,64.4,85,18.6,25,18.6,13,15.2,20,4.8,6,26,35,13.4,18,16.7,22,0.5,3,2.2,14,0.2,1
34,2.3,5,4.6,10,4.3,9,3.9,7,46,102,26.2,57,37.7,79,39.17,70,138.9,308,116.7,254,133,279,72.6,161,72.6,184,106.3,223,124.2,222,22.6,50,20.7,45,21.9,46,16.4,135,14.9,121,12.2,99
35,5.2,11,5.3,10,3.6,6,2.4,4,45.6,97,48.4,92,28.1,47,31.99,53,124.2,264,135.3,257,122.5,205,61.2,130,61.2,93,95,159,85.1,141,23.5,50,26.8,51,25.1,42,0,0,5.9,47,0.3,2
36,2.5,7,0.7,2,0.8,2,0.9,2,16.8,48,16.5,47,18.3,44,22.93,52,92.4,264,76,217,84.3,203,22.7,65,22.7,79,44.4,107,48.9,111,20.6,59,19.3,55,18.7,45,6.5,80,8.2,101,5.7,60
37,18.3,34,14.1,26,24.1,43,14.7,25,50.6,94,60.6,112,55.9,100,74.29,126,370.5,688,294,543,527.4,943,64.6,120,64.6,147,83.9,150,137.4,233,44.7,83,59,109,64.9,116,27.7,214,36.8,287,41.5,324
38,2.5,6,2.1,5,1.3,3,2.6,6,59.2,142,41.3,99,41.3,99,45.71,106,99.7,239,100.5,241,73,175,22.1,53,22.1,149,41.7,100,34.9,81,40.1,96,42.6,102,33.8,81,7.6,64,10.3,87,3.4,29
39,3.8,11,1.8,5,3.3,9,2.4,6,23.4,67,24.3,68,15.5,42,26.46,66,90.8,260,83.5,234,75.9,206,55.2,158,55.2,152,53.8,146,49.3,123,28.6,82,19.3,54,18.8,51,15.5,150,10.6,101,13.7,129
40,7.5,24,8.2,26,8.6,27,10.5,30,48.5,155,44.5,141,48.3,151,69.04,198,225,719,193,612,240.7,753,35.7,114,35.7,175,66.5,208,83.7,240,41.9,134,38.5,122,28.5,89,11.5,137,15,177,9.1,108
41,2.6,4,1.9,3,1.3,2,0,0,15.3,24,16.6,26,10.2,16,13.18,19,121.1,190,104.5,164,88.6,139,42.7,67,42.7,53,47.8,75,71.4,103,12.1,19,16.6,26,15.3,24,3.4,26,10.9,84,4.3,33
42,0.4,1,0,0,0,0,1.3,3,9.1,23,6.7,17,12.8,32,13.73,32,37.9,96,38.8,98,42.9,107,21.3,54,21.3,98,24.9,62,22.7,53,19.3,49,18.2,46,10.4,26,0.4,5,0.5,7,0.3,4
43,0,0,0,0,0.7,1,0,0,11.5,18,14.7,23,17.2,26,21.28,30,49.7,78,53,83,48.2,73,18.5,29,18.5,42,35.7,54,59.6,84,12.8,20,14.1,22,24.4,37,0.5,3,3.4,22,1.4,9
44,2.2,2,0,0,0,0,0,0,33.7,31,33.4,30,34.3,30,29.3,24,52.2,48,53.4,48,66.2,58,16.3,15,16.3,20,30.8,27,29.3,24,21.7,20,21.1,19,28.5,25,0,0,0.4,2,0.2,1
45,0.9,3,0.9,3,0,0,0.8,2,56.7,195,41.6,138,8.1,25,4.97,13,52.9,182,36.2,120,30.1,93,18,62,18,54,13.6,42,22.5,59,16.9,58,21.1,70,9.4,29,5.7,67,6.5,74,2.1,23
46,3.2,8,1.6,4,3.6,9,0,0,18.2,45,19,47,42.4,105,21,47,63,156,62.3,154,87.6,217,35.6,88,35.6,41,26.7,66,40.7,91,20.6,51,19.8,49,17.8,44,10.2,97,8.4,80,6.7,64
47,0.9,1,0,0,1.7,2,1,1,29.9,35,22.2,26,22.2,26,20.96,21,62.4,73,49.4,58,47.9,56,12.8,15,12.8,7,7.7,9,21,21,12.8,15,16.2,19,9.4,11,0.3,2,0.5,3,0.6,4
48,3.3,6,4.9,9,2.8,5,1.7,3,44.5,81,42,77,43,78,41.45,73,95,173,74.2,136,81,147,44.5,81,44.5,84,66.1,120,50,88,28,51,22.9,42,18.2,33,5.3,32,2.6,16,2.1,13
49,2.3,6,1.9,5,2.7,7,2.5,6,31.5,84,20.9,55,17.9,46,24.53,59,80.7,215,91.7,241,87.5,225,49.6,132,49.6,117,54.4,140,55.7,134,24,64,19.4,51,18.7,48,2.2,21,3.6,35,2.5,24
50,7.8,24,10.7,33,5.3,16,8.5,24,28.7,88,37.4,115,29.8,90,32.94,93,123.4,379,167.6,516,139.6,421,35.8,110,35.8,107,49.1,148,62.4,176,26.1,80,25.3,78,16.6,50,9.3,98,13.3,140,9.5,100
51,7.6,11,13,18,8.8,12,5.8,7,118.7,173,115.6,160,60.7,83,53.67,65,301.3,439,283.2,392,312.1,427,50.8,74,50.8,78,45.3,62,60.3,73,43.2,63,47.7,66,33.6,46,2.8,21,18.4,135,8.6,63
52,18.5,27,14.4,21,16.1,38,16.9,34,89.2,130,99.5,145,96.8,229,104.12,210,468.5,683,595.7,868,437.6,1035,37,54,37,95,56.2,133,83.3,168,46,67,51.5,75,35.5,84,16.2,89,22.1,122,2.8,25
53,17.1,60,13.8,48,12.4,37,13.2,36,43.9,154,37.2,130,38.3,114,45.1,123,311.6,1094,295.6,1032,376.2,1121,46.7,164,46.7,134,73.5,219,65.3,178,25.4,89,22.6,79,27.2,81,22.8,278,30.6,374,22.3,236
54,9,16,4,7,5.7,10,3.8,6,28.1,50,24.3,43,23.8,42,37.18,59,235.4,419,285.7,506,212,374,77,137,77,87,120.8,213,117.2,186,36.5,65,39,69,34,60,86.1,481,56.9,318,65.5,368
55,0.5,1,0,0,0,0,1.6,3,5.4,11,5,10,8.5,17,11.36,22,47.3,96,33.7,68,33,66,35.5,72,35.5,79,46,92,47.5,92,64.1,130,55.5,112,20.5,41,5.5,44,13.2,106,6.1,49
56,7.7,6,12.9,10,7.8,6,0,0,185.8,144,112.3,87,139.9,107,110.95,77,447.7,347,423.2,328,383,293,38.7,30,38.7,60,94.1,72,74.9,52,61.9,48,47.7,37,51,39,0.6,2,4.7,17,1.1,4
57,2.5,4,3.1,5,8.1,13,9.3,10,36.7,60,18.6,30,36.3,58,52.29,56,121.7,199,119.2,192,125.9,201,19.6,32,19.6,25,38.8,62,43,46,23.9,39,19.9,32,12.5,20,1.1,7,4,27,4,27
58,9.9,15,7.3,11,15.8,24,17.4,23,42.1,64,33.2,50,57.9,88,49.85,66,187.6,285,159.2,240,220.9,336,32.9,50,32.9,60,36.8,56,61.9,82,28.3,43,23.2,35,30.9,47,2.1,10,7.6,37,12,58
59,3.9,10,6.4,16,9.2,22,4.2,10,35.1,90,44.5,112,40.7,97,43.55,104,163.9,421,193.2,486,188.4,449,36.6,94,36.6,99,54.1,129,74.1,177,20.3,52,21.1,53,17.6,42,4.9,54,13.7,152,7.6,84
60,9.7,42,4.8,17,5,16,5.7,19,77.2,336,53.9,191,52.1,168,51.29,171,199.9,870,213.3,756,199.1,642,12.2,53,12.2,70,25.4,82,19.5,65,16.3,71,22,78,18.9,61,1.4,19,2.7,30,0.7,8
61,8.3,10,5,6,6.7,8,3.5,4,64.9,78,37.5,45,47.5,57,56.23,65,138.1,166,128.3,154,127.6,153,41.6,50,41.6,36,37.5,45,60.6,70,30.8,37,20,24,22.5,27,23.5,102,18.2,79,11.1,48
62,0,0,0,0,0,0,0.4,1,0.7,4,0.2,1,0.2,1,1.07,3,0.7,4,1.1,6,1,5,4.7,26,4.7,10,2.9,15,3.6,10,302.4,241,40.3,218,37.8,194,0,0,0,0,0,0
64,7.5,34,4.2,19,3,13,2.6,10,46.2,209,31,139,35.1,152,35.54,136,149,674,135.2,607,126.9,550,27,122,27,80,21.2,92,35,134,30.5,138,41.2,185,20.3,88,6.7,137,7.9,164,4.9,97
65,4.1,7,1.4,3,1.7,3,1.8,3,36.5,62,19.9,44,22.5,40,20.15,33,55.3,94,71.9,159,75.4,134,19.4,33,19.4,17,10.1,18,15.3,25,32.9,56,18.5,41,19.1,34,0.5,5,0.2,3,0.2,2
66,4.4,12,4,11,4.3,11,3.5,9,90.2,247,76.7,209,75.1,192,88.52,229,168.1,460,161.8,441,179.5,459,20.8,57,20.8,44,23.1,59,15.1,39,33.6,92,25,68,30.9,79,0,0,1.5,20,0.2,3
67,5.1,6,6,7,7.1,4,3.6,2,47,55,35.1,41,54.9,31,41.74,23,87.2,102,96.7,113,184.1,104,25.6,30,25.6,17,35.4,20,32.7,18,13.7,16,11.1,13,33.6,19,0.5,3,1.1,7,0,0
68,3.2,8,1.2,3,2.4,6,1.5,4,33.1,82,35.5,88,30.3,75,28.87,77,105.3,261,85.9,213,117,290,29.9,74,29.9,81,44,109,30,80,41.2,102,36.3,90,26.2,65,10.6,120,14,158,7,79
69,1.6,2,0,0,0,0,0.9,1,15.7,20,15.2,17,13.1,19,27.94,33,55.6,71,52.8,59,55.7,81,9.4,12,9.4,10,11.7,17,25.4,30,20.4,26,34,38,26.8,39,0.8,6,0.5,3,1.5,11
70,26.4,34,21.1,27,17.5,22,18.4,23,104.8,135,83,106,123.2,155,138.51,173,525.6,677,447.1,571,438,551,85.4,110,85.4,79,70.8,89,114.5,143,94.7,122,68.9,88,63.6,80,33.6,175,19,99,24.1,126
71,9.1,38,6.7,28,7.8,32,10.1,33,26.6,111,20.4,85,25,103,32.16,105,122.6,512,121.9,507,163.8,675,16,67,16,76,33,136,26.3,86,13.6,57,14.7,61,14.6,60,5.3,76,9.3,133,3.7,53
72,6.4,17,4,11,7.7,10,5.5,7,303.3,807,240.8,666,452.1,590,370.11,473,227.7,606,191.6,530,364.8,476,19.5,52,19.5,77,64.4,84,65,83,47,125,41.2,114,62.8,82,0.5,6,2,23,0.8,9
73,4.4,13,4.6,13,1.8,5,2.5,7,41.5,122,32.2,92,39.9,111,30.83,88,118.8,349,116.6,333,113.3,315,59.6,175,59.6,173,78.1,217,58.2,166,31.3,92,34.3,98,24.5,68,2.1,23,7.8,83,4.8,50
74,7,8,0.9,1,2.7,3,3.7,4,57,65,56.2,64,64.5,72,56.93,62,192.1,219,208.1,237,165.6,185,32.5,37,32.5,42,34,38,42.2,46,14.9,17,20.2,23,46.6,52,0.7,5,4.3,32,0.3,2
75,0,0,1,2,0,0,0,0,6.3,13,6.3,13,4.5,8,6.71,11,35.5,73,35.9,74,29.7,53,16.5,34,16.5,23,14,25,10.4,17,26.7,55,16.5,34,23.5,42,0.1,1,0.6,5,0.1,1
76,0.9,3,0.9,3,2,5,1,2,11.1,37,8.5,27,8.9,22,11.37,22,36,120,39.2,125,37.7,93,12.6,42,12.6,56,32.1,79,41.9,81,14.7,49,12.8,41,20.7,51,0.2,2,1.8,20,3.3,32
77,1.3,8,0.8,5,1.1,6,1.2,5,19.8,118,12.9,77,13.2,73,20.6,87,62,370,65,388,56.2,311,19.8,118,19.8,117,21.7,120,33.1,140,12.7,76,8.5,51,14.3,79,1.9,43,3.7,82,9.8,209
78,3.4,7,3.4,7,1.5,3,2.4,4,21.8,45,21,43,25.5,50,33.95,57,77.4,160,90.6,186,77.1,151,29,60,29,56,32.2,63,34.5,58,27.1,56,23.9,49,34.7,68,1.1,10,4.9,45,7.7,69
79,13.8,24,10.4,18,10.5,24,11,17,34.4,60,31.1,54,18.8,43,29.75,46,179.5,313,158.3,275,161.3,368,13.2,23,13.2,23,12.3,28,27.2,42,11.5,20,12.1,21,6.1,14,0.8,4,1.5,8,0.3,2
80,2.7,6,0.5,1,0.9,2,1.5,3,20.5,45,25.5,56,23,51,20.98,43,68.3,150,70.1,154,64.6,143,20.9,46,20.9,49,9.5,21,18.5,38,16.8,37,14.6,32,14,31,0.1,1,0,0,0.1,1
81,0,0,0,0,1.7,2,0.9,1,6,7,7.7,9,13.6,16,13.3,15,47.6,56,43.4,51,62.9,74,24.7,29,24.7,18,22.1,26,34.6,39,21.3,25,11.9,14,13.6,16,20.3,92,21.8,99,3.7,17
82,2.8,9,1.6,4,0.8,2,1.7,3,15.8,50,20.6,52,11.9,30,16.4,29,73.1,232,77.6,196,94.2,238,10.7,34,10.7,36,19.8,50,31.7,56,12.3,39,17.8,45,14.7,37,1,11,9.5,86,2.6,23
83,9.4,8,0,0,3.5,3,3.3,5,36.4,31,33,28,48.2,41,21.4,32,120.9,103,147.4,125,167.1,142,126.8,108,126.8,93,151.8,129,90.3,135,25.8,22,30.7,26,32.9,28,0,0,3.8,11,0,0
84,1.6,1,4.3,3,1.4,1,0,0,53.5,34,41.7,29,30.2,22,22.29,14,127.6,81,119.4,83,133.2,97,66.1,42,66.1,37,93.4,68,73.3,46,53.5,34,47.5,33,33,24,2.1,5,2.3,6,0,0
85,14.1,28,19.2,38,17.8,35,14.5,26,56.2,112,61.1,121,63.6,125,78.73,141,365.8,729,358.1,709,389.8,766,118.9,237,118.9,200,137.9,271,84.3,151,47.7,95,43.4,86,47.3,93,29.4,226,52.9,408,46.7,362
86,6.7,21,5.1,16,8.6,25,12.6,29,27,85,23.3,73,19,55,27.86,64,131,412,155.6,487,184.7,535,28.3,89,28.3,66,22.4,65,34,78,9.9,31,13.7,43,21.1,61,1.2,13,10.3,115,0.9,9
87,6,10,6,10,6,10,7.1,11,29,48,25.4,42,30.6,51,27.03,42,140.5,233,153.5,254,113.9,190,15.7,26,15.7,48,36.6,61,48.3,75,14.5,24,19.9,33,17.4,29,9.1,62,9.1,62,6.3,43
88,22.2,27,20.6,25,15.6,20,14.4,17,51.1,62,49.5,60,34.4,44,66.84,79,439,533,616.7,748,530.1,678,103,125,103,123,146.2,187,140.4,166,44.5,54,53.6,65,36,46,54.9,256,39.5,185,31.7,150
89,3.3,5,2.6,4,4,6,2.1,3,14.4,22,11.8,18,17.3,26,26.79,39,56.3,86,67.3,103,78.6,118,77.2,118,77.2,120,45.3,68,64.6,94,15.7,24,17.6,27,14,21,14.6,80,31.5,173,34.6,190
90,11.5,23,17,34,10.2,20,10.7,19,30.5,61,35.1,70,32,63,50.11,89,172.3,345,198.3,396,192.5,379,39,78,39,94,63,124,76.6,136,21.5,43,9,18,12.2,24,8.5,70,13,108,6.5,54
91,4.2,10,0.8,2,1.3,3,3.6,8,18.7,45,14.1,34,12.2,29,22.22,50,58.5,141,58.9,142,51.1,121,60.6,146,60.6,88,52.8,125,67.6,152,19.1,46,18.3,44,12.7,30,16.2,136,24.2,203,30.6,257
92,1.7,4,1.3,3,2.6,5,3.3,5,32.4,78,24.8,59,30.6,58,42.14,63,107.2,258,110,262,143.6,272,18.3,44,18.3,40,21.7,41,17.4,26,40.3,97,34.4,82,27.5,52,0.2,3,4.7,63,0.8,8
93,4.4,6,3.7,5,3,4,4.1,5,35,48,34.4,47,32.5,44,40.45,50,108.5,149,145.8,199,124.2,168,21.1,29,21.1,25,24.4,33,23.5,29,40.8,56,35.2,48,38.4,52,0.5,3,1.9,12,0.3,2
94,7.3,8,8.2,9,3.7,4,6.8,7,64.5,71,57.4,63,56.9,62,82.13,85,279.8,308,284.2,312,280.1,305,84.5,93,84.5,98,93.7,102,102.4,106,82.7,91,78.3,86,81.7,89,93.7,354,29.3,111,32.2,122
95,2.4,4,1.2,2,4.8,8,0,0,28.7,48,26.9,45,22.1,37,34.44,55,90.9,152,86.1,144,85.5,143,25.7,43,25.7,88,37.7,63,47,75,24.5,41,20.9,35,20.3,34,10,67,18.9,127,5.8,39
96,4.1,18,2.1,9,1.5,5,2.5,8,80.8,357,81.2,347,79.5,271,66.21,214,136.7,604,131.3,561,165.7,565,31,137,31,125,55.4,189,38.7,125,22.2,98,16.6,71,23.8,81,6,112,13.5,244,4.5,68
97,2.6,10,1.6,6,1.1,4,0.8,3,10.5,40,8.2,31,8.7,33,9.29,33,44.3,168,40.3,153,51,193,27.1,103,27.1,78,32.5,123,36.3,129,11.3,43,19.5,74,13,49,2.3,35,2.4,37,1.8,28
98,1.4,4,1.5,4,2.6,7,0.4,1,19.2,54,22.3,61,13.6,36,11.7,28,93.6,264,84,230,58.2,154,39.4,111,39.4,141,43.4,115,51.8,124,16,45,15.7,43,18.1,48,4.5,44,4.6,43,4.2,39
99,3.3,5,2,3,3.3,5,2,3,44.3,68,25.4,39,42.9,66,17.03,25,109.5,168,84.2,129,117.7,181,50.9,78,50.9,68,70.2,108,60,88,27.4,42,29.4,45,44.2,68,16.7,108,19.8,128,15.4,99
100,13.3,23,13.3,23,13.2,22,6.1,11,68,118,71.4,123,88.7,148,65.09,118,263.8,458,264.5,456,298.6,498,102.5,178,102.5,172,100.7,168,84.4,153,36.9,64,41.8,72,42,70,17.6,123,23.4,164,8.6,60
101,20.1,47,7.3,17,9.6,22,18.1,33,41.9,98,32.6,76,32.4,74,36.83,67,101.3,237,121.5,283,121.3,277,32.1,75,32.1,54,27.2,62,28,51,12.8,30,18.9,44,19.7,45,1.9,14,4.1,30,1.7,12
102,8.8,13,6.1,9,4.9,7,7.5,10,52,77,37.3,55,37.4,54,49.36,66,137.8,204,110.6,163,135.1,195,58.1,86,58.1,107,70.7,102,84.5,113,22.3,33,22.4,33,20.1,29,15.4,81,12.4,65,14.5,76
103,15.9,25,17.2,27,20.5,31,12.6,17,45.8,72,58.7,92,54.2,82,46.81,63,277.4,436,218.3,342,247.7,375,31.8,50,31.8,46,56.1,85,61.7,83,21,33,16.6,26,23.8,36,12.9,62,14,67,12.9,62
105,2.9,5,1.5,2,1,1,1.2,1,19.4,33,17.6,24,7.8,8,12.99,11,52.3,89,55.7,76,40.7,42,25.3,43,25.3,43,30.1,31,29.5,25,20.6,35,22,30,16.5,17,5,39,8.5,54,1.5,8
106,12.4,20,9.3,15,10.1,16,10.4,13,64.4,104,69.4,112,72.2,114,111.46,140,208.8,337,215.5,348,241.9,382,26.6,43,26.6,64,39.9,63,32.6,41,31,50,42.1,68,28.5,45,6.7,49,19.3,141,6.9,50
107,3.6,5,2.2,5,4.5,10,3.5,7,29.2,41,22,49,22.9,51,42.32,84,120.4,169,75.9,169,103.2,230,29.9,42,29.9,46,28.3,63,32.8,65,24.2,34,14.4,32,13.5,30,0.7,5,0.9,10,0.4,4
108,0.7,1,7,10,7,10,,,32.1,46,29.9,43,35.6,51,28.05,37,,,107.9,155,,,35.6,51,35.6,96,20.3,29,,,32.1,46,9.8,14,5.6,8,,,9.1,50,,
109,2.4,6,1.6,4,2.2,5,2.8,6,88.5,226,68.7,169,46.9,108,84.77,182,140.2,358,148.4,365,139.3,321,24.7,63,24.7,55,28.2,65,41,88,20.4,52,13.4,33,21.3,49,0,0,3.7,34,0.3,3
110,1.6,3,2.7,5,0.5,1,1.2,2,24.8,46,24.4,45,23.1,43,23.34,39,69.5,129,79.2,146,76.9,143,37.2,69,37.2,66,43,80,37.1,62,25.9,48,23.9,44,19.9,37,1.2,9,4.2,32,2.2,17
111,0.3,1,1.9,6,0.7,2,2.2,5,18.7,56,10,32,13.2,38,16.71,38,48.6,146,46.7,149,51.6,149,23,69,23,64,43.6,126,36.9,84,20,60,11.6,37,21.5,62,6.3,68,11.7,134,3.8,42
112,3.2,5,2,3,0.7,1,3.1,4,27,42,16.4,24,13.7,19,25,32,79.7,124,62.7,92,66.9,93,47.6,74,47.6,82,51.8,72,57,73,26.4,41,16.4,24,23,32,0.9,5,1.8,10,1.3,7
