NPA,Violent_Crime_Rate_2016,Violent_Crimes_2016,Violent_Crime_Rate_2015,Violent_Crimes_2015,Violent_Crime_Rate_2013,Violent_Crimes_2013,Violent_Crime_Rate_2011,Violent_Crimes_2011,Property_Crime_Rate_2016,Property_Crimes_2016,Property_Crime_Rate_2015,Property_Crimes_2015,Property_Crime_Rate_2013,Property_Crimes_2013,Property_Crime_Rate_2011,Property_Crimes_2011,Disorder_Call_Rate_2016,Disorder_Calls_2016,Disorder_Call_Rate_2015,Disorder_Calls_2015,Disorder_Call_Rate_2013,Disorder_Calls_2013,Animal_Control_Call_Rate_2016,Animal_Control_Calls_2016,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Animal_Control_Call_Rate_2013,Animal_Control_Calls_2013,Animal_Control_Call_Rate_2011,Animal_Control_Calls_2011,Fire_Call_Rate_2016,Fire_Calls_2016,Fire_Call_Rate_2015,Fire_Calls_2015,Fire_Call_Rate_2013,Fire_Calls_2013,Nuisance_Violations_2016,Nuisance_Violations_Total_2016,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,Nuisance_Violations_2013,Nuisance_Violations_Total_2013
391,0.4,1,0.4,1,0.9,2,0.4,1,9.4,22,6.8,16,11.4,26,5.25,12,31.9,75,29.4,69,30.2,69,20.9,49,20.9,45,20.6,47,36.3,83,11.9,28,16.2,38,18,41,6.6,64,4.7,46,2.5,24
392,0.4,4,0.6,6,0.3,3,0.5,4,13,132,10.4,107,12.2,123,16.17,142,35.3,358,32.9,337,43.2,434,14,142,14,188,15.4,155,18.2,160,32.5,330,33.4,343,31.9,321,1.2,49,2.4,98,1.5,59
393,2.4,13,0.5,3,1.5,9,4.1,20,47.1,260,48.7,282,41.4,245,42.89,211,196.3,1083,176.1,1019,189,1118,36.6,202,36.6,203,41.9,248,48,236,45.7,252,32.1,186,34.1,202,14.7,393,33.9,951,33.1,968
394,0.7,2,1.4,4,3.1,9,2,5,19.4,57,20.8,61,21.9,63,22.78,58,79.2,233,85.9,252,83.3,240,31.3,92,31.3,98,54.8,158,38.9,99,26.2,77,23.5,69,17,49,10.5,151,5.5,80,6.7,96
395,2.5,4,3.2,5,1.9,3,,,69.2,109,60.8,96,75.3,118,33.86,51,,,108.2,171,,,30.5,48,30.5,61,3.2,5,,,27.3,43,25.3,40,27.4,43,,,4.5,30,,
396,,,0.7,2,0,0,,,4.7,13,12.1,33,15.4,41,,,,,,,,,,,,,,,,,12.6,35,11.3,31,13.9,37,0.6,6,0.2,2,0.3,3
397,3.1,6,0,0,0,0,3.3,5,8.9,17,4.3,8,11.5,18,17.33,26,21.9,42,15.2,28,22.4,35,,,,,,,,,11,21,10.8,20,7,11,,,,,,
398,0,0,0,0,0,0,4.3,2,4.5,3,6.2,4,25.5,15,45.26,21,50.6,34,29.6,19,149.7,88,6,4,6,24,32.3,19,,,25.3,17,28,18,23.8,14,0,0,0,0,0.3,1
399,4.3,9,1.5,3,0.5,1,1.1,2,32.3,67,5.4,11,21.8,44,15.04,28,48.3,100,31,63,16.3,33,,,,,,,,,31.4,65,23.1,47,21.8,44,,,,,,
400,0,0,1.6,4,1.2,3,,,4.8,12,4.8,12,6.3,16,5.65,14,,,21.4,54,,,19.8,50,19.8,65,0.8,2,,,10.3,26,7.9,20,11.5,29,,,1.3,11,,
401,3.2,7,5,11,6.9,15,,,41.1,90,27.9,61,27,59,12.45,26,,,64,140,,,20.1,44,20.1,51,1.4,3,,,16.4,36,21,46,16.9,37,,,5,41,,
402,1.3,2,2.5,4,1.9,3,,,13.3,21,15.8,25,11.9,19,6.46,10,,,31.6,50,,,13.3,21,13.3,33,3.1,5,,,12.6,20,18.3,29,15,24,,,6.3,36,,
403,,,0.5,1,0.6,1,,,0,0,13.5,26,12.1,21,,,,,,,,,,,,,,,,,16.8,33,16.1,31,15.5,27,2.8,19,1.8,12,2.3,15
404,5.8,12,4.8,10,4.8,10,4.3,8,11.5,24,15,31,31.7,66,71.31,133,53.9,112,41.6,86,173,360,118.3,246,118.3,85,173,360,,,22.6,47,25.1,52,17.3,36,3.2,27,2.7,23,0.1,1
405,1.7,6,0.9,3,0,0,0,0,2.9,10,4.9,17,5.8,20,35.91,114,23.6,82,15.3,53,47.7,165,13.3,46,13.3,58,30.9,107,,,10.7,37,11.2,39,12.1,42,0.7,10,0.4,6,0.7,9
406,,,0.9,2,1,2,,,0,0,19.1,41,20,40,,,,,,,,,,,,,,,,,17.4,38,16.3,35,21,42,2.3,20,5.7,48,3.9,32
407,,,0.5,1,1.1,2,,,0.5,1,18.7,35,17.9,33,,,,,,,,,,,,,,,,,15.9,30,18.7,35,18.4,34,2.8,20,2.7,19,3.1,22
408,,,0.4,1,0.4,1,,,0,0,7.4,20,10.4,28,,,,,,,,,,,,,,,,,20.3,55,19.9,54,21.9,59,2.7,29,3,32,1.4,15
409,0.4,1,0,0,0.7,2,0,0,7.4,21,6,17,15.5,43,17.71,44,32.8,93,19.8,56,55.6,154,12.7,36,12.7,77,58.8,163,,,17.7,50,18.1,51,13.7,38,0.3,3,0.5,5,0.5,5
410,0,0,0.6,1,0,0,0.8,1,8.1,14,9.9,17,11.6,20,27.91,36,23.2,40,19.2,33,60.5,104,5.8,10,5.8,31,19.8,34,,,14.5,25,14.6,25,15.7,27,0.1,1,0.6,6,0.2,2
411,1.3,2,0,0,0.7,1,0.7,1,7.7,12,10.3,16,11.6,18,19.4,27,27.6,43,16.7,26,63.4,98,9.6,15,9.6,26,19.4,30,,,12.8,20,14.7,23,15.5,24,0.2,1,0.2,1,0.2,1
412,1.5,1,0,0,1.5,1,0,0,11.9,8,1.5,1,18.4,12,92.72,56,25.2,17,21,14,,,,,,,,,,,26.7,18,22.5,15,21.4,14,,,,,,
413,0.3,1,0,0,0.5,2,1.1,4,3.9,15,0,0,7.9,30,12.01,43,12.5,48,9.1,35,,,,,,,,,,,9.1,35,7.6,29,8.4,32,,,,,,
416,2.5,4,1.2,2,1.2,2,1.6,2,36.3,59,1.2,2,16,26,28.93,37,35.1,57,28.9,47,,,,,,,,,,,21.5,35,25.2,41,15.4,25,,,,,,
417,1.8,4,0,0,0.5,1,1.6,3,3.7,8,0,0,4.6,9,7.88,15,9.7,21,9.6,19,,,,,,,,,,,11.5,25,11.6,23,10.6,21,,,,,,
418,0.9,3,0.3,1,0.3,1,0.7,2,10,33,0.6,2,10.6,35,19.35,60,9.4,31,15.7,52,,,,,,,,,,,14.5,48,20,66,17.5,58,,,,,,
419,0.3,1,0.7,2,0,0,0.3,1,2.6,8,0.7,2,2.3,7,6.28,19,3.2,10,2.6,8,,,,,,,,,,,5.5,17,6.1,19,4.5,14,,,,,,
420,0.7,2,1.1,3,0.4,1,0.4,1,8,22,0.7,2,16.3,43,28.97,72,9.5,26,10.7,29,,,,,,,,,,,13.5,37,9.9,27,12.1,32,,,,,,
421,0,0,1.2,2,0.7,1,1.7,2,7,12,0.6,1,8.6,12,10.06,12,6.4,11,3.7,6,,,,,,,,,,,8.1,14,10,16,5,7,,,,,,
422,2.3,5,3.8,8,3.3,5,6.9,13,34.7,74,3.8,8,62.5,95,53.78,101,82,175,71.7,153,,,,,,,,,,,33.3,71,38.4,82,43.4,66,,,,,,
423,,,1.9,4,1,2,,,0,0,9.6,20,16.7,34,,,,,,,,,,,,,,,,,14.8,32,15.9,33,12.7,26,2.1,16,5.6,41,0.4,3
424,0,0,0,0,0.6,1,1.4,2,6.5,11,5.9,10,8.9,15,25.02,37,27.7,47,31.4,53,,,,,,,,,,,14.2,24,21.9,37,13.6,23,,,,,,
425,,,0.8,1,0,0,,,0,0,14,17,6.6,8,,,,,,,,,,,,,,,,,12.2,15,9.9,12,10,12,0.9,4,1.9,8,0.7,3
426,2.9,6,2.4,5,4.9,10,,,96.8,198,69.9,143,83.5,171,48.44,96,,,84.1,172,,,24.5,50,24.5,74,3.4,7,,,16.6,34,16.1,33,23.5,48,,,4.6,37,,
428,,,3.3,5,0,0,,,4.5,7,61.2,92,37.7,54,,,,,,,,,,,,,,,,,18.1,28,12,18,11.9,17,2.6,14,5.7,30,5.9,30
430,,,,,,,1.2,3,,,,,,,41.06,101,,,,,,,,,,,,,,,15,46,12.5,37,10.3,29,,,,,,
431,,,0,0,1.7,3,,,0,0,8.2,15,16.6,30,,,,,,,,,,,,,,,,,9.7,18,13.6,25,9.4,17,2.6,18,3.8,26,5.1,35
432,1.5,4,4.6,12,3.9,10,,,12.5,33,11.5,30,21.1,54,7.22,19,,,54.9,143,,,18.5,49,18.5,51,1.6,4,,,12.8,34,15.3,40,13.3,34,,,3,27,,
433,0,0,0,0,1,1,,,3,3,2,2,6,6,12.02,12,,,18.9,19,,,12.9,13,12.9,20,1,1,,,6,6,6,6,6,6,,,1.6,5,,
434,0.3,1,0.6,2,0.4,1,1.2,3,4.5,15,5.6,18,9.8,28,14.3,35,23.3,77,16.9,54,,,,,,,,,,,13.3,44,11.3,36,12.7,36,,,,,,
