NPA,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2015,Home_Ownership_moe_2015,Residential_Occupancy_2014,Residential_Occupancy_moe_2014,Rental_Costs_2014,Rental_Costs_moe_2014
328,0.5,380,0.5,381,0.5,382,0.5,382,0.5,382,100,379,99,378,100,381,100,381,100,382,1707,1703,1699,1699,1696,44,43,42,40,38,28,107,29,111,28,105,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,3,0.69,5,0.27,2,0.41,3,0.14,1,0.27,2,0.96,7,0,0,1.9,7,0.8,3,0.8,3,105429,91333,0.52,2,0.52,2,0.79,3,0.52,2,0,0,75,23,76,21,,
329,1.6,764,1.6,758,1.6,759,1.6,761,1.6,761,81,617,81,612,81,613,82,623,82,623,1874,1874,1868,1853,1853,22,21,20,18,16,25,153,25,152,22,137,0,0,0.64,3,1.06,5,0,0,0,0,0,0,0,0,1.06,5,1.28,6,0.64,3,0.85,4,0.64,3,1.28,6,0.85,4,1.5,11,1.6,12,1.8,14,2.2,17,113783,108800,0.4,3,0.66,5,0.13,1,0.13,1,0,0,70,13,100,0,1148,80
330,1.2,771,1.2,771,1.2,743,1.2,740,1.2,741,100,771,100,771,100,743,100,740,100,741,1584,1581,1584,1581,1583,22,21,21,19,17,31,239,30,222,29,215,0,0,0.16,1,2.26,14,3.06,19,0,0,0,0,0,0,0.62,4,0.78,5,1.29,8,0.32,2,0.32,2,0.81,5,0.65,4,0.7,5,2.9,21,3.6,26,2.3,17,101957,100786,1.82,14,0.94,7,0.14,1,0.4,3,0,0,84,15,91,13,1281,187
331,0.5,709,0.5,696,0.5,696,0.5,696,0.5,696,26,181,24,167,24,168,24,168,24,168,2020,1833,1825,1824,1824,32,36,35,33,31,25,42,24,41,25,42,0,0,2.83,37,0,0,0,0,0,0,0,0,0,0,0.15,2,0.08,1,0.23,3,0.15,2,0.08,1,0.23,3,0,0,1.2,2,2.4,4,0.6,1,2.4,4,112083,112000,0.14,1,0.29,2,0.72,5,0.14,1,0,0,19,7,84,16,1055,125
332,1.2,714,1.2,713,1.1,677,1.1,648,1,602,90,645,90,644,90,608,89,579,89,533,1999,1998,1988,1983,1966,17,16,16,14,14,27,172,26,160,24,138,0.17,1,0.17,1,0.34,2,6.38,38,8.56,51,3.86,23,2.01,12,0.5,3,1.85,11,0.34,2,0.34,2,0.34,2,0.5,3,0,0,1.3,9,2.7,18,1.9,12,2.7,16,151171,151238,0.42,3,0.59,4,0.46,3,0.17,1,0,0,67,9,94,5,1627,222
333,1.7,1064,1.7,1060,1.7,1037,1.7,1027,1.7,1022,100,1064,100,1060,100,1037,100,1027,100,1022,1519,1516,1509,1503,1498,36,35,35,33,31,24,256,23,237,22,224,2.42,15,3.07,19,0.97,6,3.72,23,1.78,11,0.48,3,0.48,3,1.45,9,2.58,16,1.78,11,3.39,21,1.29,8,1.45,9,1.45,9,0.8,8,1.8,19,1.7,17,1.6,16,98326,73750,1.13,12,1.25,13,0.78,8,0.78,8,0,0,83,9,81,4,1162,67
334,0.9,356,0.9,356,0.9,356,0.9,356,0.9,360,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,85,18,998,105
335,1.3,1121,1.3,1118,1.3,1102,1.2,1060,1.2,1035,90,1007,90,1003,90,992,90,950,89,925,2868,2882,2860,2838,2816,15,14,13,11,10,10,104,11,109,11,106,3.26,28,0,0,0.23,2,2.56,22,7.57,65,1.86,16,0.12,1,1.4,12,1.28,11,1.16,10,1.4,12,1.05,9,1.63,14,1.28,11,0.1,1,0.5,6,0.8,8,1.4,14,270431,255654,,,,,,,,,0,0,97,6,100,0,,
336,1.3,1911,1.3,1908,1.2,1870,1.2,1803,1.1,1631,58,1100,57,1093,57,1064,56,1015,58,947,2473,2486,2486,2493,2518,16,15,15,13,12,15,166,15,161,14,143,0,0,0,0,0.53,8,3.51,53,3.97,60,3.57,54,3.11,47,1.45,22,0.4,6,0.4,6,0.46,7,0.2,3,0.4,6,0.4,6,0.2,3,1.4,16,1.3,14,1.9,19,251595,154649,0.37,7,0.05,1,0.11,2,0,0,0,0,60,7,98,1,1069,120
337,1.1,748,1,724,1,708,1,705,1,706,79,593,77,555,78,553,78,550,78,551,2747,2825,2804,2800,2794,18,17,17,15,13,16,89,16,90,15,83,0.56,4,0.28,2,3.36,24,1.82,13,0,0,0,0,0,0,1.41,10,0.99,7,1.26,9,1.68,12,0.56,4,0.98,7,1.4,10,0.3,2,2.1,15,1.8,13,0.9,6,248854,242378,0.14,1,0.28,2,0.14,1,0.14,1,0,0,94,8,100,0,,
338,8.5,1295,8.7,1334,8.7,1334,6.9,1053,6.9,1053,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,175.82,269,0,0,0,0,0.65,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1.57,21,2.77,37,1.14,12,0.57,6,0,0,0,1,91,6,1189,76
339,5.3,1341,4.7,1186,4.3,1099,3.8,954,3.5,889,2,30,3,30,3,30,3,30,3,30,1293,1251,1251,1203,1180,76,78,77,75,76,33,10,40,12,40,12,14.18,36,3.55,9,5.12,13,88.19,224,1.18,3,85.04,216,0,0,1.97,5,1.18,3,0.39,1,0.39,1,0.39,1,0.39,1,0,0,0,0,0,0,0.9,1,5.1,6,309526,277300,0,0,0.09,1,0.21,2,0,0,0,0,20,7,77,3,1352,95
340,10.3,3883,11.1,4182,10.7,4003,10.5,3959,8.3,3106,2,63,2,74,2,74,2,73,2,73,2082,2099,2099,2119,2054,91,83,82,79,77,26,19,18,13,27,20,23.66,89,170.42,641,88.03,331,90.96,342,0,0,0,0,0,0,1.6,6,2.92,11,1.86,7,2.66,10,49.46,186,0.8,3,4.52,17,0.1,3,0.3,8,0.7,17,1.2,30,275797,262277,0.24,10,0.25,10,0.25,10,0.19,6,11,454,36,6,89,4,1191,
341,5.1,1897,5.1,1898,4.9,1797,4.9,1798,4.9,1816,3,59,3,59,3,59,3,60,3,60,2088,2088,2099,2089,2089,20,19,18,18,16,14,8,15,9,13,8,0.27,1,0,0,0.27,1,0,0,27.1,100,0,0,0,0,0.27,1,1.9,7,0,0,0.54,2,0.27,1,0.27,1,0,0,0.2,1,0.7,4,1.2,7,1.5,9,269772,197734,0.58,11,0.95,17,1.06,19,0.88,16,31,551,16,5,82,4,1019,
342,1.5,426,1.5,424,1.5,424,1.3,357,1.1,300,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,0,0,163.99,459,0,0,0,0,0.36,1,6.43,18,0.36,1,0.36,1,0.36,1,0.71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1,500944,672056,0,0,0,0,0,0,0,0,0,0,19,13,76,13,1495,
343,3.3,859,3.3,861,3.3,858,3.3,844,3.6,931,70,603,70,605,70,602,72,610,65,608,1442,1413,1383,1373,1349,74,73,73,73,72,31,185,29,174,35,212,4.24,11,2.7,7,2.31,6,94.23,245,2.69,7,1.92,5,7.69,20,7.7,20,11.55,30,15.02,39,11.55,30,8.09,21,3.85,10,6.16,16,0.2,1,0.6,4,1.3,8,0.5,3,245806,228402,0.93,8,0.7,6,0.95,8,0.43,4,0,0,66,7,80,6,940,337
344,3.2,839,3,794,3,787,2.9,752,2.8,727,43,363,46,362,46,361,48,359,49,356,1238,1220,1190,1144,1119,59,58,59,59,58,46,167,42,152,51,182,0.38,1,0,0,22.14,58,4.58,12,10.31,27,8.4,22,24.81,65,3.81,10,4.96,13,4.96,13,4.58,12,5.34,14,2.29,6,1.14,3,0.1,1,0.4,3,1.7,12,1,7,205006,183787,1.89,15,2.16,17,4.79,36,2.2,16,0,0,41,8,93,5,1133,185
345,0.6,379,0.6,379,0.6,378,0.6,378,0.6,378,100,379,100,379,100,378,100,378,100,378,1601,1597,1594,1576,1572,42,41,40,38,36,27,101,25,96,28,105,0,0,0,0,0.15,1,0.15,1,0,0,0,0,0,0,0.46,3,0.46,3,0.45,3,0.45,3,0.45,3,0,0,1.05,7,0,0,0.6,2,1.6,6,2.2,8,127694,129042,0,0,0,0,0.53,2,0.53,2,2,6,67,9,100,0,1271,400
346,1.5,1056,1.4,1056,1.5,1055,1.4,1054,1.5,1056,66,696,66,696,66,695,66,694,66,696,1339,1339,1338,1336,1328,53,52,52,50,48,36,254,35,241,34,236,0,0,0,0,0,0,0.14,1,0.14,1,0,0,0,0,1.23,9,0.82,6,0.82,6,0.82,6,0.14,1,0.96,7,0.55,4,0.3,2,2.1,15,1.7,12,2.4,17,68500,64800,1.99,21,2.46,26,1.8,19,1.42,15,5,50,45,8,90,7,683,77
347,2.5,348,2.5,345,2.5,347,2.5,347,2,278,59,206,59,203,59,205,59,205,76,211,1261,1218,1216,1214,1209,62,63,62,62,60,44,90,38,78,43,89,10.01,14,4.29,6,5.71,8,0,0,0,0,57.86,81,0,0,16.45,23,10.73,15,5.01,7,5.72,8,0.72,1,2.15,3,2.86,4,0.6,1,1.8,3,2.4,4,1.7,3,177400,,4.06,14,3.46,12,3.75,13,4.68,13,14,50,29,15,90,6,744,202
348,0.8,1294,0.8,1284,0.8,1284,0.8,1283,0.8,1285,97,1252,97,1240,97,1242,97,1241,97,1243,1783,1786,1784,1784,1780,38,38,37,35,33,22,270,21,261,19,235,0.13,2,0.13,2,0.82,13,0.13,2,0,0,0,0,0,0,1.19,19,1.63,26,1.32,21,0.69,11,0.25,4,0.88,14,0.69,11,0.9,12,1.9,24,1.2,15,1.4,18,118263,123439,0.31,4,0.39,5,0.08,1,0,0,0,0,79,6,94,5,964,
349,2.2,664,2.7,790,2.7,789,2.7,789,2.7,789,40,264,34,267,34,266,34,266,34,266,3765,3682,3671,3643,3589,41,41,40,38,36,7,18,6,17,5,13,2.69,8,1.01,3,1.01,3,0,0,0.34,1,0,0,0,0,7.73,23,7.73,23,6.39,19,7.06,21,10.42,31,6.39,19,4.71,14,0,0,0,0,0,0,0,0,797292,780000,0.13,1,0,0,0.51,4,0.13,1,0,0,28,10,96,9,1112,117
350,2.4,757,2.4,758,2.4,757,2.4,757,2.4,757,40,305,40,306,40,305,40,305,40,305,2533,2506,2504,2489,2473,47,46,45,43,41,7,20,6,18,8,25,0,0,0.32,1,0,0,0.32,1,0,0,0,0,0,0,8.02,25,7.06,22,8.66,27,8.66,27,5.77,18,5.45,17,7.06,22,0.6,3,0.4,2,0.6,3,0.6,3,338333,335238,0,0,0,0,0.26,2,0,0,0,0,58,7,87,7,1159,323
351,2.2,447,2.2,441,2.2,438,2.1,414,2,395,79,351,78,345,78,342,77,318,76,299,2813,2818,2763,2707,2654,24,23,23,23,22,8,26,6,21,7,23,1.48,3,1.98,4,7.43,15,3.96,8,12.38,25,5.94,12,0.99,2,7.91,16,5.93,12,7.91,16,4.94,10,6.43,13,5.44,11,5.93,12,0,0,1.2,4,0,0,0,0,433222,381846,0.68,3,0.23,1,0.48,2,0.25,1,14,59,66,12,100,0,877,205
352,4.5,1142,4.5,1142,4.5,1142,4.5,1141,4.5,1142,16,177,16,177,15,177,15,176,15,177,2749,2746,2733,2727,2733,22,21,20,18,16,2,4,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0.39,1,0,0,4.34,11,1.58,4,4.34,11,5.52,14,1.58,4,2.76,7,4.34,11,0,0,0,0,0.2,1,0.2,1,276535,280482,0.18,2,0,0,0.18,2,0.09,1,0,0,40,6,90,5,1023,104
353,1.5,1000,1.5,1003,1.5,1002,1.5,994,1.4,968,100,1000,100,1003,100,1002,100,994,100,968,2431,2418,2419,2407,2370,40,40,39,37,36,8,85,8,77,9,87,2.48,17,0,0,0.44,3,0.58,4,1.17,8,2.33,16,1.17,8,7.73,53,6.71,46,5.54,38,3.94,27,3.06,21,4.23,29,4.23,29,0,0,0.1,1,0.4,4,0.8,8,350648,332754,0.1,1,0,0,0.1,1,0.1,1,0,0,90,8,100,0,1415,135
354,4,1012,4,1012,4,1012,4,1012,4,1012,10,103,10,103,10,103,10,103,10,103,1672,1672,1671,1671,1671,36,35,34,32,30,21,22,15,15,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,1,1.95,5,0.39,1,1.17,3,0,0,0.39,1,0.39,1,1.5,4,0,0,0.8,2,1.9,5,152450,123905,0,0,0,0,0,0,0.1,1,0,0,14,5,100,0,950,98
355,1.7,1049,1.7,1049,1.7,1049,1.7,1049,1.7,1049,20,213,20,213,20,213,20,213,20,213,2268,2266,2265,2254,2254,18,17,16,14,12,15,32,15,31,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,4,0.78,5,0.16,1,0.47,3,0.32,2,0.95,6,0.32,2,0,0,1.6,4,0.4,1,0.4,1,271182,248617,0.29,3,0.1,1,0,0,0,0,0,0,25,9,95,9,1183,76
356,1.9,1895,1.9,1893,1.9,1885,1.9,1883,1.9,1876,50,942,50,940,49,932,49,930,49,923,4409,4410,4386,4383,4371,18,17,17,15,13,6,61,8,71,7,66,2.87,28,3.07,30,0.31,3,1.13,11,0.51,5,0.31,3,0.1,1,3.79,37,4.41,43,4.91,48,3.99,39,3.27,32,6.55,64,2.66,26,0.3,5,0.6,9,0.7,11,0.5,8,504105,477796,0,0,0.11,2,0.11,2,0.05,1,0,0,81,7,97,3,1179,
357,4.2,1446,4.2,1439,4.2,1440,4.1,1401,4.1,1402,44,635,44,629,44,630,45,633,45,634,1736,1719,1712,1704,1702,46,46,45,43,41,23,142,17,105,23,145,0.29,1,0.58,2,3.18,11,0.29,1,12.43,43,0,0,30.92,107,8.97,31,8.68,30,5.78,20,4.63,16,5.21,18,4.05,14,13.02,45,0.2,2,0,0,0.1,1,0.2,2,301760,238608,0.21,3,0.42,6,0.14,2,0.21,3,8,114,69,6,97,2,964,
358,1.7,1404,2,1665,1.8,1497,1.8,1497,1.4,1168,45,632,38,634,42,636,42,636,54,636,2704,2656,2630,2616,2584,51,50,49,47,45,8,52,8,52,10,62,0.36,3,0.49,4,12.64,104,43.5,358,39.49,325,39.37,324,0.61,5,6.07,50,6.68,55,7.77,64,6.19,51,3.89,32,4.49,37,4.62,38,0,0,0.1,1,0.3,3,1.2,12,460923,374418,0,0,0,0,0.07,1,0.51,6,0,0,60,5,90,4,1266,
359,2.6,1065,2.6,1064,2.6,1060,2.6,1061,2.5,1055,71,755,71,754,71,750,71,751,71,745,2364,2347,2336,2329,2309,45,45,44,42,40,10,74,11,79,11,82,4.33,18,0.48,2,0.72,3,0.96,4,0.48,2,1.2,5,0.48,2,12.27,51,13.72,57,10.35,43,6.02,25,5.29,22,6.5,27,5.78,24,0,0,0.3,3,0.1,1,0.5,5,394158,401371,0.09,1,0,0,0.28,3,0,0,0,0,96,6,91,2,1808,
360,1.1,1506,1.1,1499,1.1,1494,1,1465,1,1431,100,1506,100,1499,100,1494,100,1465,100,1431,1781,1771,1769,1757,1745,21,20,20,18,16,20,305,18,274,17,243,2.75,39,2.11,30,0.56,8,0.99,14,1.9,27,1.9,27,0.21,3,1.9,27,0.99,14,0.35,5,0.56,8,0.92,13,0.7,10,0.42,6,0.9,13,2.7,40,2.7,39,2.5,36,132950,126470,0.27,4,0.33,5,0.55,8,0.21,3,0,0,83,6,90,7,1326,
361,1.5,754,1.2,596,0.9,451,0.9,451,0.9,456,62,466,77,459,99,447,99,447,99,452,1069,1021,986,986,987,65,66,68,65,63,67,308,55,246,67,300,147.91,733,18.97,94,10.69,53,42.94,213,0,0,0,0,0,0,4.24,21,2.02,10,3.03,15,3.03,15,1.82,9,1.41,7,0.81,4,0.9,3,1.6,5,1.6,5,1.9,6,68500,76500,4.53,27,6.87,31,6.65,30,3.29,15,0,0,23,11,91,8,797,
362,1.6,1299,1.6,1303,1.6,1309,1.6,1311,1.6,1314,61,795,61,799,61,805,62,807,62,810,1213,1212,1211,1210,1208,54,53,52,50,48,34,273,34,270,31,251,0,0,0.12,1,0,0,0,0,0,0,0,0,0,0,1.97,16,1.97,16,1.97,16,2.09,17,0.61,5,1.23,10,0.61,5,0.3,2,2.2,18,1.2,10,1.6,13,62212,78364,2.46,32,2.44,32,1.14,15,1.07,14,38,504,43,9,82,8,665,
363,0.9,1199,0.9,1205,0.9,1207,0.9,1208,0.8,1120,76,907,76,912,76,915,76,916,82,914,932,935,930,929,928,57,56,56,54,52,71,646,62,570,73,666,0.29,4,0.29,4,0.29,4,0,0,0,0,0.07,1,0,0,0.81,11,1.91,26,1.25,17,2.5,34,0.81,11,0.88,12,1.18,16,0.1,1,1.1,8,1.1,8,0.7,5,40344,43393,5.48,66,6.55,79,7.04,85,3.04,34,22,271,36,9,88,5,668,
364,2.4,1153,2.4,1149,2.4,1143,2.3,1122,2.3,1120,72,828,72,826,72,822,71,802,71,799,3588,3569,3526,3578,3503,54,53,53,52,51,8,63,7,59,8,63,2.48,12,2.28,11,1.04,5,2.07,10,0.83,4,0.21,1,0.62,3,18,87,12.82,62,14.89,72,14.69,71,10.34,50,10.55,51,9.93,48,0.1,1,0.3,3,0,0,0.1,1,1084050,857745,0,0,0.09,1,0.09,1,0,0,0,0,92,3,92,2,1034,
365,3.1,823,3.1,826,3.1,826,3.1,825,2.4,649,71,585,71,588,71,588,71,587,90,587,1211,1210,1209,1204,1202,61,60,59,56,54,41,244,30,177,42,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,15,33.75,91,1.12,3,4.47,12,1.12,3,2.61,7,2.23,6,0.2,1,0.4,2,1.3,6,0.9,4,125812,124094,0.73,6,0.97,8,1.7,14,1.08,7,0,0,53,10,94,4,886,
366,1.3,440,1.3,441,1.3,459,1.3,442,1.7,583,52,229,52,230,52,238,54,240,41,241,1218,1217,1219,1218,1222,64,63,62,60,58,47,107,41,98,45,108,0.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,5,0.86,3,0.57,2,0.29,1,0.86,3,1.15,4,0,0,1.3,3,2.1,5,0,0,139500,155333,0.91,4,1.31,6,0.9,4,0.17,1,0,0,35,9,87,5,868,
367,4.2,3097,4.2,3094,3.7,2724,3.7,2735,3.5,2546,29,906,29,909,34,919,34,926,39,991,1904,1863,1826,1795,1725,80,79,79,77,75,33,303,23,209,35,327,2.73,20,16.68,122,35.57,260,0.68,5,79.48,581,0.41,3,4.65,34,8.48,62,7.25,53,7.79,57,5.88,43,4.79,35,4.51,33,4.24,31,0.1,1,0.2,3,0.4,6,1,14,382511,366966,0.16,5,0.11,3,0.37,10,0.04,1,0,0,34,4,96,2,1108,
368,1.1,1184,1.1,1184,1.1,1184,1.1,1184,1.1,1184,69,822,79,932,79,932,79,932,79,932,1587,1548,1547,1546,1544,39,37,36,34,32,21,194,19,181,18,172,0,0,0,0,0,0,0,0,0.09,1,0,0,0,0,1.35,15,0.99,11,1.62,18,1.17,13,0.72,8,1.71,19,2.07,23,0.7,8,1,12,1.2,14,1.5,17,139353,124991,,,,,,,,,0,0,67,8,94,5,1048,
369,1.4,450,1.4,465,1.4,469,1.6,509,1.6,527,85,382,85,397,86,401,87,441,76,402,979,974,974,931,966,67,66,65,63,61,61,243,59,237,62,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,6,1.52,5,2.43,8,2.74,9,0.3,1,1.52,5,2.13,7,0.3,1,3.1,12,0.5,2,0,0,50750,,3.23,15,4.69,22,4.72,24,1.71,9,0,0,43,9,88,7,810,
370,2.6,1219,2.6,1219,2.6,1217,2.6,1236,2.6,1228,43,527,43,527,43,525,43,535,43,527,954,936,928,922,903,52,52,51,50,50,71,374,58,303,74,397,1.91,9,1.7,8,0.21,1,1.06,5,1.91,9,0,0,8.05,38,2.12,10,2.33,11,1.91,9,3.18,15,2.33,11,1.06,5,0.64,3,0.8,3,1.1,4,1,4,1.6,6,74000,27885,4.51,55,4.19,51,8.58,106,5.86,72,41,511,17,4,85,5,726,
371,1.6,2254,1.6,2254,1.6,2254,1.6,2256,1.6,2258,83,1874,83,1871,83,1874,83,1876,83,1878,1320,1324,1323,1326,1321,52,51,50,48,46,39,733,38,706,36,680,0,0,0.07,1,0.07,1,0,0,0,0,0,0,0.22,3,1.79,25,1.86,26,2.94,41,2.8,39,1.36,19,1.58,22,1.36,19,0.6,11,1.4,26,1.4,25,1.5,28,69184,67031,2.88,65,2.97,67,2.84,64,1.02,23,0,0,44,4,88,3,767,
372,2.3,4443,2.2,4416,2.2,4390,2.2,4382,2.2,4229,82,3652,83,3647,83,3652,83,3645,86,3643,2346,2345,2344,2344,2342,18,17,16,14,12,13,480,12,444,10,363,0,0,0,0,1.17,23,1.17,23,0.41,8,3.91,77,0.71,14,2.25,44,1.79,35,2.39,47,2.24,44,2.03,40,1.78,35,3.1,61,0.5,20,0.8,35,1.3,54,1.1,46,199019,188501,0.16,7,0.11,5,0.07,3,0,0,0,0,79,3,94,3,1475,
373,1.3,1109,1.3,1113,1.3,1108,1.3,1109,1.3,1109,86,955,86,959,86,954,86,955,86,955,2755,2726,2696,2693,2685,48,48,47,45,44,13,120,12,111,12,116,1.17,10,0.94,8,1.4,12,0.94,8,0.23,2,0,0,0.23,2,5.73,49,6.2,53,6.44,55,5.15,44,4.91,42,3.28,28,4.33,37,0.2,2,0.1,1,0.3,3,0.1,1,347975,341437,0.36,4,0.54,6,0.18,2,0.36,4,1,6,76,10,98,4,1653,
374,2.7,1137,2.7,1137,2.7,1138,2.7,1137,2.8,1148,85,968,85,968,86,973,86,980,86,984,1075,1073,1070,1067,1065,56,56,55,53,51,60,580,54,530,60,591,0.96,4,0.48,2,0.24,1,0,0,2.4,10,0,0,0.48,2,5.52,23,6.48,27,5.04,21,4.8,20,2.88,12,5.28,22,7.68,32,0.9,8,1.4,12,1.2,10,1,9,59906,114727,6.86,78,6.15,70,5.45,62,2.44,28,5,60,47,10,82,7,723,
375,0.9,867,0.9,867,0.9,865,0.9,864,0.9,859,100,866,100,866,100,864,100,860,100,856,3977,3951,3914,3914,3888,34,33,32,30,29,3,29,4,32,3,24,1.51,15,2.02,20,0.3,3,0.61,6,0.2,2,0.3,3,0.61,6,7.68,76,7.07,70,6.16,61,6.87,68,4.24,42,5.66,56,4.14,41,0,0,0.1,1,0.1,1,0.4,3,737893,639981,0,0,0,0,0.23,2,0.12,1,0,0,97,5,100,0,725,
376,1.3,1515,1.3,1517,1.3,1456,1.3,1451,1.2,1432,96,1453,94,1427,100,1456,100,1451,100,1432,1768,1772,1762,1755,1743,25,24,23,21,19,21,297,20,285,18,267,0.09,1,0,0,0,0,5.91,68,1.13,13,1.3,15,0.7,8,1.13,13,1.22,14,0.69,8,0.61,7,0.69,8,1.04,12,0.61,7,0.8,11,2.1,30,2.2,31,1.8,26,132942,130963,0.4,6,0.21,3,0.28,4,0.21,3,0,0,79,8,96,1,,
377,1.9,2075,1.9,2043,1.9,2006,1.8,1989,1.8,1955,81,1676,80,1643,80,1606,80,1590,80,1556,2552,2558,2531,2534,2526,14,14,13,11,9,15,252,15,241,12,192,0.37,4,0.09,1,4.07,44,2.59,28,1.94,21,1.94,21,2.68,29,2.59,28,1.67,18,0.74,8,0.83,9,1.3,14,0.93,10,0.65,7,1,20,2.1,42,1.6,31,1.7,33,159415,154575,0.15,3,0.2,4,0.3,6,0.2,4,0,0,87,1,90,5,1205,
378,2.4,2165,2.4,2168,2.4,2145,2.3,2114,2.3,2105,88,1908,88,1911,89,1913,90,1902,90,1893,1756,1727,1697,1675,1669,64,63,63,62,61,23,431,19,358,24,464,3.28,30,3.5,32,5.69,52,5.25,48,4.6,42,0.55,5,0.33,3,12.04,110,15.65,143,11.6,106,10.72,98,8.32,76,5.58,51,7.22,66,0.1,1,0.1,2,0.4,7,0.7,12,342449,335251,0.23,5,0.65,14,0.95,20,0.14,3,0,0,73,5,99,2,1055,
379,1.3,1349,1.2,1324,1.2,1321,1.2,1311,1.2,1304,97,1306,98,1302,99,1302,99,1301,100,1298,3759,3755,3744,3742,3739,21,20,19,17,16,5,67,5,59,4,51,0.37,4,0.47,5,2.51,27,1.49,16,0.37,4,0.37,4,0.19,2,5.12,55,5.96,64,5.58,60,6.14,66,3.82,41,5.49,59,5.49,59,0.1,1,0.2,3,0.5,6,1,13,504607,483688,0.15,2,0.23,3,0.08,1,0,0,0,0,97,2,98,2,2482,
380,1,1836,1,1831,1,1832,1,1830,1,1817,100,1836,100,1831,100,1832,100,1830,100,1817,3557,3561,3545,3537,3525,26,25,24,23,21,6,118,7,121,6,106,0.16,3,0.16,3,0.37,7,0.05,1,0.32,6,0.43,8,0.58,11,4.62,87,4.15,78,3.67,69,4.25,80,3.3,62,3.24,61,3.99,75,0.1,2,0.4,8,0.4,8,0.9,17,435281,429213,0.16,3,0.16,3,0.16,3,0,0,0,0,97,2,99,1,2250,
381,4.1,2017,4.2,2071,3.5,1745,3.5,1746,3.6,1750,38,767,37,770,44,773,44,774,44,778,1459,1419,1371,1350,1322,66,66,65,64,62,32,248,30,228,33,259,6.5,32,22.75,112,2.03,10,1.42,7,72.82,359,71.81,354,0.61,3,6.91,34,8.73,43,7.31,36,8.93,44,7.31,36,4.06,20,5.68,28,0,0,0.1,1,0.5,5,0.8,9,283935,236822,0.14,3,0.11,2,0.4,7,0.29,5,3,49,40,5,92,4,874,
