NPA,Long_Commute_2014,Long_Commute_moe_2014,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2013,Sidewalk_Miles_2013,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
242,89,17,1.6,1.7,1.7,1.2,1.14,1.14,1.14,1.25,1.25,82.8,4.63,0,0,0,0,0,0,0,0,,,,,,
243,100,133,2.1,2.2,2.4,1.3,1.23,1.14,1.14,1.33,1.33,,,4,2,4,2,4,2,4,2,,,,,,
244,85,13,1.5,1.4,1.4,1.4,1.05,1.05,1.05,1.08,1.09,40.7,4.11,9,60,9,60,9,60,9,60,,,,,,
245,56,22,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.18,1.18,46.7,2.18,100,646,100,646,100,646,100,646,106,532,76,382,63,316
246,75,11,1.5,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1.2,42.9,3.19,100,1206,100,1206,100,1206,100,1206,60,664,86,857,90,899
247,95,26,1.3,1.3,1.3,1.3,1.21,1.21,1.21,1.21,1.21,73,2.22,100,453,100,453,100,454,100,454,42,292,43,304,145,1016
248,78,12,1.3,1.4,1.4,1.4,1.07,1.07,1.15,1.15,1.15,42.3,1.47,100,836,100,836,100,836,100,836,142,711,163,817,143,716
249,80,12,1.6,1.5,1.5,1.5,1.05,1.05,1.05,1.05,1.05,79.2,1.81,100,531,100,531,100,531,100,531,11,107,15,154,15,150
250,57,9,1.1,1.2,1.2,1.2,1.02,1.02,1.02,1.05,1.05,49.2,3.14,33,225,28,191,27,183,25,168,,,,,,
251,67,14,1.4,1.4,1.5,1.4,1.1,1.12,1.09,1.13,1.13,59,4.37,40,269,40,266,33,210,36,219,,,,,,
252,84,17,1.4,1.4,1.4,1.4,0.98,0.98,1,1,1,43.4,2.01,0,0,0,0,0,0,0,0,,,,,,
253,62,13,1.5,1.4,1.5,1.5,1.15,1.15,1.16,1.23,1.19,48.6,6.2,85,732,25,213,26,229,24,207,74,149,81,162,60,120
254,51,22,1.3,1.3,1.5,1.5,1.23,1.23,1.23,1.26,1.26,27.1,4.48,99,567,99,326,99,326,99,326,53,1016,71,1413,72,1359
255,50,6,1.4,1.3,1.3,1.3,1.05,1.05,1.05,1.04,1.04,53.7,6.31,73,897,63,775,62,763,45,552,,,,,,
256,71,12,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.12,1.1,28.6,15.54,0,0,0,0,0,0,0,0,,,,,,
257,79,11,1.5,1.5,1.5,1.5,1.26,1.26,1.27,1.3,1.3,59.9,10.07,0,0,0,0,0,0,0,0,,,,,,
258,52,19,1.3,1.4,1.4,1.3,1.13,1.13,1.13,1.13,1.13,41.5,6.41,87,895,100,1009,100,1009,100,1010,24,118,31,156,25,153
259,67,8,1.2,1.3,1.3,1.3,1.02,1.02,1.02,1.03,1.03,52.9,4.73,86,842,86,842,86,844,86,841,38,192,41,204,41,205
260,85,19,1.4,1.4,1.4,1.4,1.19,1.2,1.2,1.21,1.21,29.5,7.31,99,1241,99,1237,100,1249,100,1250,38,1107,35,1223,40,1357
261,75,13,1.5,1.5,1.7,1.7,1.09,1.09,1.09,1.12,1.12,4.7,0.54,100,860,100,860,100,860,100,860,1,14,2,30,2,31
262,61,9,1.6,1.6,1.6,1.6,1.08,1.08,1.08,1.07,1.07,27.3,5.31,33,401,33,401,32,400,32,400,1,2,2,6,2,7
263,63,12,1.6,1.5,1.4,1.5,1.03,1.02,1.02,1.02,1.02,32.8,4.32,90,953,90,944,81,837,79,752,2,6,12,12,4,17
264,60,13,1.5,1.5,1.4,1.5,1.07,1.07,1.07,1.07,1.07,35.7,2.58,0,0,0,0,0,0,0,0,,,,,,
265,78,14,1.7,1.7,1.7,1.7,1.04,1.04,1.04,1.04,1.04,68.5,4.44,100,546,100,546,100,545,100,545,6,19,6,18,7,15
266,83,12,1.2,1.2,1.3,1.2,1.09,1.07,1.07,1.19,1.14,24.8,5.7,0,0,0,0,0,0,0,0,,,,,,
267,65,10,1.3,1.3,1.4,1.4,1.11,1.11,1.1,1.12,1.12,52.5,12.86,0,0,0,0,0,0,0,0,,,,,,
268,87,20,1.3,1.3,1.4,1.3,1.08,1.08,1.08,1.1,1.1,38.2,2.96,100,694,100,695,100,695,100,694,4,7,6,12,11,22
269,70,12,1.5,1.5,1.5,1.4,1.12,1.13,1.13,1.14,1.14,40,5.27,99,1198,99,1198,99,1192,98,1174,9,101,7,81,3,30
270,83,22,1.4,1.4,1.4,1.4,1.07,1.07,1.07,1.07,1.07,54.5,1.38,100,598,100,598,100,598,100,598,64,128,81,163,49,98
271,75,18,1.7,1.6,1.6,1.5,1.18,1.18,1.18,1.18,1.18,21.8,1.26,100,448,100,448,100,448,100,448,14,27,24,47,20,39
272,61,9,1.6,1.7,1.3,1.3,1.13,1.13,1.13,1.17,1.15,57.1,2.93,100,780,100,780,100,780,100,780,111,777,121,849,119,833
273,65,9,1.2,1.1,1.2,1.2,1.07,1.07,1.05,1.1,1.1,65.5,5.53,0,0,0,0,0,0,0,0,,,,,,
274,79,21,1.5,1.5,1.3,1.3,1.26,1.26,1.27,1.27,1.27,44.1,1.47,100,554,100,554,100,554,100,554,33,66,20,40,,
275,48,15,1.2,1.2,1.2,1.3,1.01,1.01,1.01,1.01,1.01,37.6,3.25,10,88,11,102,11,101,11,98,,,,,,
276,71,11,1.2,1.2,1.2,1.3,1.02,1.02,1.02,1.03,1.03,61.7,5.44,0,0,0,0,0,0,0,0,,,,,,
277,47,14,1.3,1.3,1.3,1.3,1.15,1.15,1.12,1.14,1.15,42.8,5.4,0,0,0,0,0,1,0,1,,,,,,
278,82,15,1.3,1.3,1.3,1.2,1.16,1.16,1.16,1.16,1.13,50,2.33,0,0,0,0,0,0,0,0,,,,,,
279,49,15,1.3,1.3,1.3,1.2,1.16,1.16,1.17,1.17,1.17,7.8,0.27,0,0,0,0,0,0,0,0,,,,,,
280,68,14,1.5,1.5,1.3,1.4,1,1,1.04,1.04,1.11,25.2,3.23,43,174,43,174,42,168,42,170,20,119,19,130,14,101
281,76,21,1.2,1.2,1.2,1.2,1.17,1.12,1.12,1.12,1.12,35.7,1.8,0,0,0,0,0,0,0,0,,,,,,
282,66,12,1.4,1.4,1.3,1.2,1.07,1.07,1.07,1.07,1.07,54.4,3.56,0,0,0,0,0,0,0,0,,,,,,
283,67,8,1.5,1.4,1.4,1.3,1.09,1.09,1.09,1.09,1.09,71.1,7.6,66,688,66,688,66,690,66,694,87,346,97,388,97,388
284,55,19,1.4,1.4,1.4,1.4,1.21,1.2,1.2,1.14,1.14,39.4,3.41,0,0,0,0,0,0,0,0,,,,,,
285,,,1.4,1.4,1.3,1.2,1.31,1.31,1.31,1.15,1.15,11.7,3.57,94,15,94,15,93,14,100,15,13,591,13,538,14,585
286,76,29,1.2,1.3,1.2,1.3,1.25,1.25,1.25,1.18,1.25,12.9,3.15,0,0,65,55,66,56,64,58,38,268,7,47,6,36
287,69,13,1.3,1.3,1.3,1.3,1.26,1.26,1.26,1.28,1.31,62,12.24,100,1215,100,1232,100,1232,100,1177,76,2421,91,2821,89,2588
288,68,15,1.2,1.2,1.2,1.2,1.03,1.03,1.03,1.07,1.08,51.5,5.87,86,859,86,856,86,840,72,699,8,62,10,77,4,34
289,68,11,1.4,1.4,1.4,1.4,1.17,1.13,1.11,1.11,1.1,73.5,11.07,17,224,17,216,9,117,10,124,92,275,152,303,156,312
290,49,15,1.4,1.4,1.5,1.5,1.24,1.25,1.25,1.26,1.26,54.8,10.52,100,411,100,416,100,416,100,232,425,19121,451,19388,551,19835
291,41,14,1.2,1.2,1.2,1.2,0.96,0.96,1,1,1,51.3,3.02,100,998,100,998,100,998,100,998,,,,,,
292,79,21,1.4,1.4,1.4,1.4,1.15,1.15,1.15,1.18,1.16,37.1,2.98,100,409,100,416,100,415,100,420,57,455,65,519,61,485
293,40,21,2.1,2.1,2.1,2.1,1.37,1.37,1.37,1.37,1.37,53.6,2.36,100,354,100,355,100,354,100,359,58,701,60,784,55,882
294,42,19,1.6,1.6,1.6,1.5,1.07,1.07,1.07,1.07,1.07,73.1,4.22,100,431,100,432,100,434,100,435,45,447,52,523,47,468
295,58,15,1.7,1.7,1.8,1.8,1.29,1.29,1.29,1.37,1.39,83.9,3.81,100,521,100,521,100,521,100,438,41,412,44,442,47,472
296,67,12,1.3,1.3,1.4,1.3,1.18,1.18,1.19,1.24,1.24,23.6,3.96,0,0,0,0,0,0,0,0,,,,,,
297,33,26,1.7,1.7,1.8,1.8,1.08,1.08,1.08,1.17,1.17,48.1,1.53,92,138,92,138,92,138,92,139,,,,,,
298,23,12,1.5,1.5,1.6,1.3,1.18,1.18,1.18,1.29,1.29,32.2,1.78,100,798,100,798,100,798,100,799,28,311,32,356,28,312
299,66,14,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.12,1.11,31,3.68,73,861,73,845,65,744,65,741,0,0,0,0,0,0
300,35,15,1.3,1.3,1.2,1.2,1.15,1.15,1.15,1.18,1.18,0.6,0.07,100,576,100,576,100,576,100,573,32,258,30,300,32,322
301,59,8,1.4,1.3,1.2,1.2,1.05,1.05,1.05,1.05,1.05,41.3,3.79,2,14,1,10,1,10,2,14,,,,,,
302,48,12,1.4,1.4,1.4,1.4,1.04,1.04,1.04,1.06,1.06,29.9,2.93,95,1147,95,1147,95,1147,95,1148,28,169,35,211,31,186
303,64,10,1.7,1.6,1.7,1.6,1.26,1.26,1.26,1.29,1.29,55.7,3.12,100,898,100,898,100,898,100,898,22,108,22,111,16,82
304,47,11,1.5,1.6,1.6,1.6,0.94,0.94,1,1,1,89.2,1.54,100,378,100,378,100,378,100,378,151,757,105,419,391,1954
305,82,7,1.5,1.4,1.4,1.4,1.16,1.16,1.16,1.16,1.16,19.9,1.41,41,168,41,168,41,168,41,168,,,,,,
306,52,41,1.3,1.2,1.2,1.3,1.17,1.17,1.17,1.15,1.23,49.5,5.26,100,412,100,356,100,360,100,434,45,1180,65,1176,72,1288
307,52,17,1.5,1.5,1.5,1.4,1.17,1.17,1.17,1.19,1.16,48.5,5.65,100,1440,100,1099,100,1101,100,1101,19,132,20,159,15,123
308,82,16,1.1,1.1,1.1,1.1,1.03,1.03,1.03,1.05,1.05,58.8,3.35,0,0,0,0,0,0,0,0,,,,,,
309,65,12,1.5,1.4,1.5,1.5,1.05,1.05,1.08,1.14,1.16,29.4,3.24,0,0,0,0,0,0,0,0,,,,,,
310,62,13,1.6,1.6,1.6,1.6,1.12,1.12,1.12,1.14,1.14,48.4,5.19,0,0,0,0,0,0,0,0,,,,,,
311,52,20,1.7,1.8,1.9,1.9,1.43,1.43,1.43,1.44,1.44,32,5,100,573,100,577,100,581,100,593,32,512,29,492,27,519
312,88,12,1.6,1.6,1.6,1.6,1.24,1.24,1.24,1.24,1.24,43.1,2.46,100,622,100,623,100,624,100,624,152,1518,173,1727,136,1359
313,49,18,1.3,1.3,1.3,1.3,1.01,1.01,1.03,1.03,1.04,23.4,2.07,99,570,99,570,100,575,100,575,30,455,34,538,54,647
314,66,25,2,1.9,1.9,2,1.17,1.17,1.17,1.17,1.19,49.7,3.48,100,933,100,948,100,948,100,950,144,862,153,920,150,901
315,47,12,1.6,1.6,1.6,1.6,1.28,1.29,1.3,1.32,1.32,59,4.26,100,397,100,396,100,395,100,320,50,900,47,937,35,815
316,78,3,1.6,1.6,1.5,1.8,1.19,1.19,1.19,1.19,1.31,53.8,4.55,100,1449,100,1449,100,1449,100,1449,67,607,76,683,134,1205
317,84,16,1.4,1.4,1.6,1.4,1.12,1.12,1.12,1.21,1.21,54.8,2.78,100,308,100,305,100,305,100,309,13,63,14,68,15,74
318,68,10,1.5,1.6,1.6,1.6,1.13,1.12,1.12,1.12,1.13,41.1,4.12,23,160,23,160,23,160,23,162,31,62,39,78,44,88
319,53,9,1.5,1.5,1.5,1.5,1.14,1.14,1.14,1.16,1.15,23.4,3.36,40,434,40,433,78,844,76,775,25,123,27,191,27,192
320,42,22,1.6,1.7,1.6,1.7,1.24,1.24,1.24,1.24,1.24,71.7,5.35,100,446,100,467,100,476,100,475,91,730,95,764,106,851
321,46,14,1.6,1.6,1.6,1.6,1.22,1.22,1.22,1.22,1.22,60.1,3.81,100,478,100,477,100,473,100,481,21,410,20,402,17,352
322,80,15,1.6,1.6,1.6,1.6,1.04,1.04,1.04,1.04,1.04,20.1,1.12,79,337,79,337,80,339,80,339,7,7,9,9,10,10
323,96,4,1.6,1.5,1.5,1.5,1.07,1.07,1.07,1.07,1.07,49.1,5.48,99,885,99,886,99,886,99,886,36,401,42,466,46,508
324,74,9,1,1.1,1.2,1.2,1.05,1.05,1.05,1.13,1.12,7.6,1.46,0,0,0,0,0,0,0,0,,,,,,
325,71,16,1.5,1.5,1.5,1.5,1.15,1.15,1.15,1.16,1.17,27.3,3.75,78,885,78,884,78,874,78,870,105,315,105,315,7,14
326,34,23,1.9,1.9,2,1.8,1.32,1.32,1.32,1.32,1.32,80,3.39,100,411,100,410,100,411,100,412,97,1259,103,1334,98,1379
327,78,24,1.6,1.6,1.7,1.7,1.21,1.21,1.21,1.21,1.21,38.6,2.13,100,626,100,626,100,626,100,627,24,266,26,291,15,151
328,65,10,1.5,1.5,1.6,1.6,1.25,1.25,1.26,1.28,1.28,21.2,3.59,83,316,83,316,83,316,83,317,21,206,25,221,19,173
329,58,21,1.5,1.4,1.4,1.4,1.06,1.06,1.04,1.04,1.04,57.9,5.34,79,598,79,598,79,601,79,601,58,405,62,431,72,502
330,80,22,1.4,1.4,1.4,1.4,1.03,1.03,1.03,1.04,1.04,39.1,3.77,33,257,5,38,5,38,5,38,,,,,,
331,72,14,1.4,1.4,1.4,1.3,1.29,1.25,1.24,1.24,1.23,24.9,5.66,96,666,96,665,96,665,96,666,179,2504,195,2334,224,2236
332,75,10,1.7,1.5,1.5,1.2,1.15,1.15,1.15,1.17,1.19,30.7,2.93,67,481,66,449,65,424,63,381,14,56,19,76,15,60
333,57,15,1.5,1.6,1.5,1.6,1.15,1.15,1.16,1.16,1.17,31.6,4.42,12,122,11,118,11,118,12,119,,,,,,
334,67,32,2.5,2.5,2.1,1.2,1.24,1.23,1.23,1.23,1.23,13.3,0.61,100,356,100,356,100,356,100,360,32,225,40,364,45,315
335,71,11,1.3,1.4,1.5,1.5,1.12,1.12,1.12,1.19,1.24,65.8,10.76,0,0,0,0,0,0,0,0,,,,,,
336,65,9,1.3,1.3,1.4,1.4,1.23,1.22,1.23,1.31,1.3,38.6,9.67,0,0,0,0,45,818,44,711,,,4,4,0,0
337,80,20,1.1,1.2,1.2,1.2,1.14,1.14,1.14,1.2,1.19,61.3,7.39,0,0,0,0,0,0,0,0,,,,,,
338,56,18,1.5,1.5,1.8,1.5,1.27,1.29,1.29,1.33,1.33,82.8,3.7,100,1334,100,1334,100,1053,100,1053,71,641,73,654,89,805
339,39,9,1.5,1.5,1.6,1.5,1.38,1.38,1.39,1.47,1.46,57.1,6.22,100,1186,100,1099,100,954,100,889,265,2920,159,2863,163,2603
340,48,8,1.6,1.7,1.8,1.8,1.42,1.42,1.42,1.48,1.48,77.4,10.59,100,4182,100,4003,100,3959,100,3911,105,2524,103,2673,112,3372
341,39,5,1.7,1.7,1.9,1.9,1.55,1.54,1.55,1.71,1.69,74.3,12.64,100,1898,100,1797,100,1798,100,1816,263,12338,292,12844,346,14873
342,12,12,1.7,1.7,2.2,2.2,1.48,1.51,1.52,1.86,1.85,73.7,8.28,100,424,100,424,100,357,100,357,2047,131004,2348,138503,2096,140452
343,44,14,1.8,1.8,1.8,1.7,1.39,1.39,1.39,1.4,1.4,81.5,8.51,100,861,100,858,100,844,100,940,59,713,66,796,66,786
344,53,6,1.6,1.6,1.5,1.5,1.29,1.3,1.3,1.3,1.31,58.1,4.84,100,794,100,787,100,752,100,727,76,380,78,469,80,479
345,71,17,1.3,1.3,1.3,1.3,1.27,1.27,1.27,1.3,1.29,19.6,2.63,52,197,52,196,52,196,52,196,19,39,25,51,26,52
346,59,14,1.4,1.5,1.4,1.4,1.23,1.23,1.23,1.23,1.23,14.8,2.04,100,1051,100,1055,100,1054,100,1056,45,627,39,506,41,581
347,22,10,1.9,1.8,1.9,1.8,1.25,1.24,1.24,1.24,1.24,89.8,4.22,100,345,100,347,100,347,100,278,134,1071,159,1272,166,1495
348,67,11,1.4,1.4,1.5,1.4,1.21,1.21,1.21,1.23,1.24,19,5.87,60,765,60,766,60,765,60,768,9,60,6,40,7,46
349,59,14,1.4,1.4,1.4,1.4,1.14,1.15,1.15,1.15,1.15,35.1,2.02,93,734,93,734,100,787,100,787,17,84,15,77,13,64
350,62,12,1.4,1.4,1.4,1.4,1.14,1.14,1.14,1.14,1.15,49.2,3.33,67,505,67,505,67,505,67,504,0,0,0,0,0,0
351,75,16,1.6,1.6,1.6,1.6,1.09,1.09,1.09,1.09,1.09,51.6,2.95,98,433,98,430,100,414,100,395,2,11,4,20,4,20
352,65,11,1.2,1.2,1.2,1.2,1.04,1.04,1.05,1.05,1.05,59.1,3.57,100,1141,100,1141,100,1140,34,390,9,17,6,12,1,1
353,67,7,1.6,1.6,1.6,1.5,1.18,1.19,1.19,1.19,1.19,61.8,9.64,91,914,91,913,91,905,91,879,1,15,2,25,2,22
354,64,14,1.4,1.4,1.4,1.4,1.24,1.24,1.24,1.24,1.24,50.1,3.17,100,1012,100,1012,100,1012,100,1012,4,31,6,48,6,34
355,62,12,1.2,1.3,1.3,1.3,1.13,1.13,1.13,1.24,1.2,49.3,5.39,39,405,39,406,39,406,35,364,43,213,49,247,41,207
356,62,4,1.4,1.4,1.4,1.4,1.07,1.07,1.07,1.08,1.08,53.8,10.94,56,1053,53,996,53,996,53,996,,,,,,
357,45,6,1.6,1.7,1.7,1.7,1.14,1.14,1.14,1.16,1.16,43.7,4.14,99,1427,99,1428,99,1389,99,1389,30,149,35,175,31,187
358,38,3,1.8,1.7,1.7,1.7,1.25,1.25,1.25,1.25,1.24,51.3,9.1,100,1665,100,1497,100,1497,100,1497,59,1599,52,1417,52,1548
359,54,13,1.4,1.4,1.4,1.4,1.17,1.18,1.2,1.2,1.2,39.2,4.88,100,1064,100,1060,100,1061,100,1055,3,31,4,44,4,42
360,83,14,1.2,1.1,1.2,1.1,1.07,1.07,1.07,1.09,1.09,39.9,9.87,31,468,31,470,32,465,0,0,36,71,52,104,4,7
361,33,13,1.6,1.6,1.8,1.7,1.42,1.42,1.42,1.46,1.46,53.3,8.46,100,596,100,451,100,451,100,456,39,927,38,917,34,928
362,47,8,1.8,1.7,1.8,1.8,1.27,1.27,1.27,1.26,1.26,39.5,5.9,100,1303,100,1309,100,1311,100,1314,55,1370,46,1601,47,1656
363,53,6,1.3,1.3,1.4,1.4,1.23,1.23,1.23,1.25,1.26,35.4,9.49,100,1205,100,1207,100,1208,100,1120,46,1108,48,1160,49,1164
364,16,5,1.6,1.7,1.6,1.6,1.34,1.34,1.34,1.34,1.34,80.4,9.64,100,1149,100,1143,100,1122,100,1119,15,180,14,167,13,156
365,46,4,2.1,2,2.1,2.1,1.36,1.36,1.36,1.39,1.39,63.9,5.86,100,826,100,826,100,825,82,532,18,71,19,78,5,20
