Parcel,2017Address,CITY,STATE,ZIP,2017TotalSubUnits,2017Source,2017PropertyName,NPA,HousingUnits,LAT,LONG,,,,,,
6513807,3321 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25561856,-80.87928407,,,,,,
6513807,3321 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25561856,-80.87928407,,,,,,
6513807,3321 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25561856,-80.87928407,,,,,,
20309166,10124 SHAFFER VALLEY WAY,Charlotte,NC,28273,86,LIHTC,WESTINGHOUSE SENIOR HOUSING,92,1344,35.13035905,-80.93879591,,,,,,
17306103,6513 LEAFCREST LANE,CHARLOTTE,NC,28210,48,CHA-HDP,LEAFCREST,105,868,35.14531509,-80.86117674,,,,,,
2327156,10412 ROZZELLES FERRY ROAD,Charlotte,NC,,100,HTF,Rocky Branch II/Rivermere,109,974,35.32344605,-80.95390334,,,,,,
2327158,3404 DUNN COMMONS PKWY,Charlotte,NC,28216,192,CHA-HDP,RIVERMERE APARTMENTS,109,974,35.32496957,-80.95042906,,,,,,
11504201,1621 BROOKSVALE STREET,Charlotte,NC,,150,HTF,Boulevard Phase III,114,441,35.20810934,-80.92189168,,,,,,
20523101,516 ARROWHAWK DRIVE,Charlotte,NC,,49,CMHP,Shelton Knoll,116,1322,35.13810224,-80.88292195,,,,,,
20523114,7609 KINGS RIDGE DRIVE,CHARLOTTE,NC,28217,192,CHA-HDP,SOUTH OAK CROSSING,116,1322,35.14090033,-80.88112974,,,,,,
14512318,2305 FARMER STREET,Charlotte,NC,28208,308,CHA-HDP,ARBOR GLEN,120,584,35.20919438,-80.89492861,,,,,,
16703409,304 GREEN NEEDLES COURT,Charlotte,NC,28217,49,CHA-HDP,CEDAR KNOLL,121,825,35.17006108,-80.89417273,,,,,,
3915104,1835 GRIERS GROVE ROAD,Charlotte,NC,28216,99,HUD,NORTHCROSS TOWNHOMES,123,1088,35.28419513,-80.86069272,,,,,,
7706203,1445 SAMUEL ST,Charlotte,NC,,130,CMHP,Stevenson Apartments,126,469,35.26019112,-80.83743088,,,,,,
7510544,1214 KOHLER AVENUE,Charlotte,NC,,48,CMHP,McNeel,126,343,35.25107372,-80.83701071,,,,,,
7511309,2425 STATESVILLE AVENUE,Charlotte,NC,28206,96,LIHTC,THE ALEXANDER,126,343,35.25431961,-80.83626313,,,,,,
10307306,4400 DALMOOR DRIVE,CHARLOTTE,NC,28212,6,HUD,ARC/HDS MECKLENBURG COUNTY GROUP HOME,127,989,35.21792093,-80.74909158,,,,,,
9905231,3630 FRONTENAC AVENUE,CHARLOTTE,NC,28215,10,HUD,CAC OF METROLINA #2,128,1018,35.23737073,-80.77408823,,,,,,
6124114,2908 TURNING OAK DRIVE,Charlotte,NC,28208,85,LIHTC,WILLOW OAK RUN,140,1073,35.24433559,-80.92485046,,,,,,
20702108,8936 SHARONBROOK DRIVE,CHARLOTTE,NC,28210,10,HUD,CAC OF METROLINA #1,142,1299,35.11389752,-80.87647008,,,,,,
10921112,1211 ROBINHOOD CIR,Charlotte,NC,28227,6,HUD,CHC OF METROLINA #2,147,1029,35.19825717,-80.7105535,,,,,,
10943102,7207 LAWYERS ROAD,Charlotte,NC,,78,HTF,Honeycreek,147,1029,35.19998801,-80.71949879,,,,,,
7908613,2600 N. PINE STREET,Charlotte,NC,28206,136,CHA-HDP,DILLEHAY COURTS,157,282,35.24984862,-80.81914719,,,,,,
14522112,2909 CROSS ROADS PLACE,Charlotte,NC,,80,CMHP,Tyvola Crossing,159,418,35.20771274,-80.90666714,,,,,,
14522206,2918 RICHARD STREET,Charlotte,NC,,20,HTF,Tyvola Crossing,159,418,35.20656349,-80.90722286,,,,,,
4505510,4826 WOODSTONE DRIVE,CHARLOTTE,NC,28269,50,HUD,WOODSTONE APTS,160,1106,35.28086418,-80.81087551,,,,,,
4519107,4912 DAYBREAK DRIVE,CHARLOTTE,NC,28269,60,HUD,MAYFIELD MEMORIAL APARTMENTS,160,1106,35.28261554,-80.81082064,,,,,,
12522428,233 E. 1st STREET,Charlotte,NC,28204,1,CHA-HDP,TALL OAKS II,163,522,35.21229577,-80.83250601,,,,,,
12523406,506 AVANT STREET,Charlotte,NC,28204,42,CHA-HDP,CHERRY GARDENS,163,522,35.20815114,-80.83153591,,,,,,
12523423,407 BALDWIN AVENUE,CHARLOTTE,NC,28204,81,CHA-HDP,TALL OAKS I,163,522,35.2097052,-80.83162777,,,,,,
13103216,4442 CENTRAL AVENUE,Charlotte,NC,,28,HTF,Centre Terrace,164,1763,35.2129376,-80.76918962,,,,,,
9928160,4525 GAYNELLE DRIVE,CHARLOTTE,NC,28215,6,HUD,RSS GAYNELLE DR GROUP HOME,166,538,35.22600891,-80.73513894,,,,,,
09920C98,4600 SHARON CHASE DRIVE,CHARLOTTE,NC,28215,5,HUD,RSSI SHARON CHASE CONDOS,168,633,35.23025912,-80.7447681,,,,,,
21309205,215 OLD BELL ROAD,Charlotte,NC,28270,6,HUD,RSS OLD BELL ROAD GROUP HOME,175,687,35.13482485,-80.76862551,,,,,,
20925107,3711 CARMEL FOREST DRIVE,Charlotte,NC,28226,6,HUD,CHC OF METROLINA #3,177,795,35.09784702,-80.84226092,,,,,,
7844420,1407 SPRING STREET,CHARLOTTE,NC,28206,38,HUD,GREENHAVEN TOWNHOUSES,182,268,35.24510109,-80.83978693,,,,,,
16510301,4016 PINEY GROVE ROAD,CHARLOTTE,NC,28212,6,HUD,PINEY GROVE GROUP HOME,186,831,35.18313356,-80.72896743,,,,,,
2919116,3515 LAUREL MILL DRIVE,Charlotte,NC,28262,168,CHA-HDP,MILL POND,195,1207,35.37280615,-80.73559791,,,,,,
10314111,5117 HICKORY VALLEY COURT,Charlotte,NC,28212,49,CHA-HDP,VALLEYVIEW,197,993,35.22196134,-80.74371295,,,,,,
10314112,5028 HICKORY GROVE ROAD,Charlotte,NC,28215,30,HUD,HICKORY PLACE APARTMENTS,197,993,35.22358428,-80.74436725,,,,,,
18736102,5805 OLDE PROVIDENCE ROAD,Charlotte,NC,28226,49,CHA-HDP,GLADEDALE,198,819,35.13447797,-80.78343775,,,,,,
8108612,1035 E 10TH STREET,Charlotte,NC,,204,HTF,Seigle Point/The Crossing,200,425,35.22416309,-80.8270901,,,,,,
8108612,707 SEIGLE AVENUE,Charlotte,NC,28204,190,CHA-HDP,THE VISTAS @ 707,200,425,35.22392659,-80.82673649,,,,,,
18313369,4845 ASHLEY PARK LANE,CHARLOTTE,NC,28210,176,CHA-HDP,ASHLEY SQUARE AT SOUTHPARK,210,1508,35.14641415,-80.82951661,,,,,,
18313372,6770 BROAD STREET,Charlotte,NC,28210,50,CHA-HDP,SPRINGCROFT @ ASHLEY PARK,210,1508,35.14587484,-80.82901602,,,,,,
2733103,3705 PROSPERITY CHURCH ROAD,Charlotte,NC,28269,168,LIHTC,PROSPERITY CREEK SENIOR APARTMENTS,218,1073,35.34818058,-80.77602253,,,,,,
4911106,628 FLOWE DRIVE,CHARLOTTE,NC,28213,5,HUD,SMC GROUP HOME II,234,919,35.27969976,-80.75920285,,,,,,
4544111,4825 SPRING TRACE DRIVE,Charlotte,NC,28269,76,LIHTC,CHARLOTTE SPRING,237,1064,35.31236496,-80.83592032,,,,,,
16104201,4319 MANTLE COURT,CHARLOTTE,NC,28205,6,HUD,AS MECKLENBURG CO. G.H. #2,240,888,35.19601605,-80.78182522,,,,,,
19105101,7120 WALLACE ROAD,Charlotte,NC,28212,48,CHA-HDP,WALLACE WOODS,245,646,35.17547245,-80.75050339,,,,,,
5910110,5215 PINEBROOK DRIVE,CHARLOTTE,NC,28208,6,HUD,AS MECKLENBURG CO. G.H. #1,258,1074,35.25728617,-80.92235565,,,,,,
4734202,6523 WHITE PINE LANE,Charlotte,NC,,98,HTF,Rodden Square,259,981,35.30470088,-80.79724575,,,,,,
4320204,6604 ROCKWELL CH.ROAD,Charlotte,NC,28269,22,HUD,TILLINGHAST PLACE,283,1054,35.30632693,-80.79748617,,,,,,
11702204,2741 DOCTOR CARVER ROAD,Charlotte,NC,28208,47,HUD,BARRINGER GARDENS,294,476,35.21493909,-80.88924222,,,,,,
7509630,1816 GENESIS PARK PLACE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,295,515,35.24936045,-80.84413453,,,,,,
7509666,1923 RUSH WIND DRIVE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,295,515,35.25016658,-80.84335211,,,,,,
7509666,1923 RUSH WIND DRIVE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,295,515,35.25016658,-80.84335211,,,,,,
7510699,1110 RISING OAK DRIVE,Charlotte,NC,28206,83,HUD,ANITA STROUD SENIOR COMPLEX,295,515,35.24653003,-80.83780265,,,,,,
22119114,8415 HOLLOW GLEN PLACE,Charlotte,NC,28226,40,HUD,MONTCLAIR APARTMENTS,298,798,35.08898166,-80.8626634,,,,,,
20924114,6508 WALSH BOULEVARD,Charlotte,NC,28226,55,LIHTC,MCMULLEN WOODS,303,898,35.09134243,-80.85247584,,,,,,
11504205,3610 NOBLES AVE,Charlotte,NC,28208,224,CHA-HDP,RESIDENCES AT RENAISSANCE,306,909,35.21014652,-80.92097872,,,,,,
11504207,3240 NEW RENAISSANCE WAY,Charlotte,NC,28208,110,LIHTC,BOULEVARD SENIORS,306,909,35.20844142,-80.91984357,,,,,,
11504501,5712 LEAKE AVENUE,Charlotte,NC,28208,242,LIHTC,LITTLE ROCK APTS,306,909,35.20896938,-80.91757236,,,,,,
10703105,4005 SUNRIDGE LANE,Charlotte,NC,28215,44,CHA-HDP,SUNRIDGE,312,622,35.23801381,-80.73811456,,,,,,
9514139,2603 ARNOLD DRIVE,CHARLOTTE,NC,28205,48,HUD,HILLCREST APARTMENTS,314,931,35.22334645,-80.78142846,,,,,,
11902117,1505 PARKER DRIVE,Charlotte,NC,28208,99,LIHTC,PARKER HEIGHTS,317,308,35.22010839,-80.88272124,,,,,,
21322171,8848 NOLLEY COURT,Charlotte,NC,28270,78,LIHTC,SARDIS TRACE,318,771,35.13687199,-80.7402507,,,,,,
20112307,2352 TOWNSHIP ROAD,Charlotte,NC,28273,52,LIHTC,SUMMERFIELD APTS,319,1080,35.13518344,-80.94299542,,,,,,
10820113,8225 PENCE ROAD,Charlotte,NC,,85,CMHP,Pleasant View,323,890,35.21767671,-80.69580511,,,,,,
10820113,8225 PENCE ROAD,Charlotte,NC,,40,HTF,Pleasant View,323,890,35.21767671,-80.69580511,,,,,,
10730102,6509 W.T. HARRIS BLVD,Charlotte,NC,28215,36,CHA-HDP,GROVE PLACE,325,1128,35.23126326,-80.72822747,,,,,,
7802101,421 N POPLAR STREET,CHARLOTTE,NC,28202,128,HUD,BOOTH GARDEN APTS.,340,3883,35.23216648,-80.84189634,,,,,,
7803201,201 W. 10TH STREET,Charlotte,NC,28202,176,CHA-HDP,EDWIN TOWERS,340,3883,35.23263122,-80.83880532,,,,,,
7814113,306 N. CLARKSON STREET,Charlotte,NC,28202,41,LIHTC,ORCHARD PARK APTS,340,3883,35.23516452,-80.84947372,,,,,,
7814211,225 N CLARKSON STREET,Charlotte,NC,28202,31,CHA-HDP,VICTORIA SQUARE,340,3883,35.23572564,-80.85015972,,,,,,
